	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																		
2/5/2024	CDM	1799	30682270	HC OCCULT BLOOD MULTIPLE		OP		82270	    	301	59	38.35	2.44	59	10.22	44.84	12.39	44.84	11.24	46.79	10.53	12.39	46.79	10.83	14.89	10.63	48.85	37.7	14.74	46.02	52.51	2.49	40.83	57.82	54.28	14.09	31.27	31.27	40.65	10.73	14.75
2/5/2024	CDM	1800	30686788	HC WEST NILE VIRUS IGM		IP		86788	    	306	57	37.05	5.7	57	N/A	43.32	N/A	43.32	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	47.2	36.42	N/A	44.46	50.73	N/A	39.44	55.86	52.44	N/A	30.21	30.21	39.67	N/A	N/A
2/5/2024	CDM	1801	30686788	HC WEST NILE VIRUS IGM		OP		86788	    	306	57	37.05	5.7	57	20.06	43.32	11.97	43.32	22.07	45.2	20.66	11.97	45.2	21.26	14.39	20.86	47.2	36.42	14.24	44.46	50.73	9.59	39.44	55.86	52.44	13.61	30.21	30.21	39.27	21.06	14.25
2/5/2024	CDM	1802	30686789	HC WEST NILE VIRUS IGG		IP		86789	    	306	60	39	6	60	N/A	45.6	N/A	45.6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	49.68	38.34	N/A	46.8	53.4	N/A	41.52	58.8	55.2	N/A	31.8	31.8	41.76	N/A	N/A
2/5/2024	CDM	1803	30686789	HC WEST NILE VIRUS IGG		OP		86789	    	306	60	39	6	60	20.06	45.6	12.6	45.6	22.07	47.58	20.66	12.6	47.58	21.26	15.14	20.86	49.68	38.34	14.99	46.8	53.4	8.19	41.52	58.8	55.2	14.34	31.8	31.8	41.34	21.06	15
2/5/2024	CDM	1804	30687015	HC CONCENTRATE INF AGENT		IP		87015	    	306	71	46.15	7.1	71	N/A	53.96	N/A	53.96	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	58.79	45.37	N/A	55.38	63.19	N/A	49.13	69.58	65.32	N/A	37.63	37.63	49.42	N/A	N/A
2/5/2024	CDM	1805	30687015	HC CONCENTRATE INF AGENT		OP		87015	    	306	71	46.15	3.73	71	14.46	53.96	14.91	53.96	15.91	56.3	14.89	14.91	56.3	15.33	17.91	15.04	58.79	45.37	17.74	55.38	63.19	3.8	49.13	69.58	65.32	16.96	37.63	37.63	48.92	15.18	17.75
2/5/2024	CDM	1806	30687040	HC CULTURE BLOOD		IP		87040	    	306	126	81.9	12.6	126	N/A	95.76	N/A	95.76	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	104.33	80.51	N/A	98.28	112.14	N/A	87.19	123.48	115.92	N/A	66.78	66.78	87.7	N/A	N/A
2/5/2024	CDM	1807	30687040	HC CULTURE BLOOD		OP		87040	    	306	126	81.9	5.76	126	14.46	95.76	26.46	95.76	15.91	99.92	14.89	26.46	99.92	15.33	31.8	15.04	104.33	80.51	31.49	98.28	112.14	5.88	87.19	123.48	115.92	30.1	66.78	66.78	86.81	15.18	31.5
2/5/2024	CDM	1808	30687045	HC CULTURE STOOL		IP		87045	    	306	41	26.65	4.1	41	N/A	31.16	N/A	31.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	33.95	26.2	N/A	31.98	36.49	N/A	28.37	40.18	37.72	N/A	21.73	21.73	28.54	N/A	N/A
2/5/2024	CDM	1809	30687045	HC CULTURE STOOL		OP		87045	    	306	41	26.65	4.1	41	14.46	31.16	8.61	31.16	15.91	32.51	14.89	8.61	32.51	15.33	10.35	15.04	33.95	26.2	10.24	31.98	36.49	5.38	28.37	40.18	37.72	9.79	21.73	21.73	28.25	15.18	10.25
2/5/2024	CDM	1810	30687070	HC CULTURE OTHER SPECIMEN		IP		87070	    	306	83	53.95	8.3	83	N/A	63.08	N/A	63.08	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	68.72	53.04	N/A	64.74	73.87	N/A	57.44	81.34	76.36	N/A	43.99	43.99	57.77	N/A	N/A
2/5/2024	CDM	1811	30687070	HC CULTURE OTHER SPECIMEN		OP		87070	    	306	83	53.95	4.81	83	14.46	63.08	17.43	63.08	15.91	65.82	14.89	17.43	65.82	15.33	20.94	15.04	68.72	53.04	20.74	64.74	73.87	4.91	57.44	81.34	76.36	19.83	43.99	43.99	57.19	15.18	20.75
2/5/2024	CDM	1812	30687075	HC ANAEROBE CULTURE		IP		87075	    	306	44	28.6	4.4	44	N/A	33.44	N/A	33.44	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	36.43	28.12	N/A	34.32	39.16	N/A	30.45	43.12	40.48	N/A	23.32	23.32	30.62	N/A	N/A
2/5/2024	CDM	1813	30687075	HC ANAEROBE CULTURE		OP		87075	    	306	44	28.6	4.4	44	14.46	33.44	9.24	33.44	15.91	34.89	14.89	9.24	34.89	15.33	11.1	15.04	36.43	28.12	11	34.32	39.16	5.39	30.45	43.12	40.48	10.52	23.32	23.32	30.32	15.18	11
2/5/2024	CDM	1814	30687077	HC AEROBIC ISO ID EACH		IP		87077	    	306	69	44.85	6.9	69	N/A	52.44	N/A	52.44	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	57.13	44.09	N/A	53.82	61.41	N/A	47.75	67.62	63.48	N/A	36.57	36.57	48.02	N/A	N/A
2/5/2024	CDM	1815	30687077	HC AEROBIC ISO ID EACH		OP		87077	    	306	69	44.85	4.51	69	14.46	52.44	14.49	52.44	15.91	54.72	14.89	14.49	54.72	15.33	17.41	15.04	57.13	44.09	17.24	53.82	61.41	4.6	47.75	67.62	63.48	16.48	36.57	36.57	47.54	15.18	17.25
2/5/2024	CDM	1816	30687081	HC CULTURE SCREEN		IP		87081	    	306	112	72.8	11.2	112	N/A	85.12	N/A	85.12	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	92.74	71.57	N/A	87.36	99.68	N/A	77.5	109.76	103.04	N/A	59.36	59.36	77.95	N/A	N/A
2/5/2024	CDM	1817	30687081	HC CULTURE SCREEN		OP		87081	    	306	112	72.8	3.7	112	14.46	85.12	23.52	85.12	15.91	88.82	14.89	23.52	88.82	15.33	28.26	15.04	92.74	71.57	27.99	87.36	99.68	3.77	77.5	109.76	103.04	26.75	59.36	59.36	77.17	15.18	28
2/5/2024	CDM	1818	30687088	HC URINE ISOLATE ID		IP		87088	    	306	87	56.55	8.7	87	N/A	66.12	N/A	66.12	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	72.04	55.59	N/A	67.86	77.43	N/A	60.2	85.26	80.04	N/A	46.11	46.11	60.55	N/A	N/A
2/5/2024	CDM	1819	30687088	HC URINE ISOLATE ID		OP		87088	    	306	87	56.55	4.51	87	14.46	66.12	18.27	66.12	15.91	68.99	14.89	18.27	68.99	15.33	21.95	15.04	72.04	55.59	21.74	67.86	77.43	4.6	60.2	85.26	80.04	20.79	46.11	46.11	59.94	15.18	21.75
2/5/2024	CDM	1820	30687102	HC CULTURE FUNGAL PRESUMP		IP		87102	    	306	116	75.4	11.6	116	N/A	88.16	N/A	88.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	96.05	74.12	N/A	90.48	103.24	N/A	80.27	113.68	106.72	N/A	61.48	61.48	80.74	N/A	N/A
2/5/2024	CDM	1821	30687102	HC CULTURE FUNGAL PRESUMP		OP		87102	    	306	116	75.4	4.69	116	14.46	88.16	24.36	88.16	15.91	91.99	14.89	24.36	91.99	15.33	29.27	15.04	96.05	74.12	28.99	90.48	103.24	4.78	80.27	113.68	106.72	27.71	61.48	61.48	79.92	15.18	29
2/5/2024	CDM	1822	30687110	HC CULTURE CHLAMYDIA		IP		87110	    	306	72	46.8	7.2	72	N/A	54.72	N/A	54.72	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	59.62	46.01	N/A	56.16	64.08	N/A	49.82	70.56	66.24	N/A	38.16	38.16	50.11	N/A	N/A
2/5/2024	CDM	1823	30687110	HC CULTURE CHLAMYDIA		OP		87110	    	306	72	46.8	7.2	72	14.46	54.72	15.12	54.72	15.91	57.1	14.89	15.12	57.1	15.33	18.17	15.04	59.62	46.01	17.99	56.16	64.08	11.16	49.82	70.56	66.24	17.2	38.16	38.16	49.61	15.18	18
2/5/2024	CDM	1824	30687118	HC CULTURE MYCOBACTERIAL DEF ID DILUTION		IP		87118	    	306	89	57.85	8.9	89	N/A	67.64	N/A	67.64	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	73.69	56.87	N/A	69.42	79.21	N/A	61.59	87.22	81.88	N/A	47.17	47.17	61.94	N/A	N/A
2/5/2024	CDM	1825	30687118	HC CULTURE MYCOBACTERIAL DEF ID DILUTION		OP		87118	    	306	89	57.85	8.15	89	14.46	67.64	18.69	67.64	15.91	70.58	14.89	18.69	70.58	15.33	22.46	15.04	73.69	56.87	22.24	69.42	79.21	8.31	61.59	87.22	81.88	21.26	47.17	47.17	61.32	15.18	22.25
2/5/2024	CDM	1826	30687147	HC CULTURE TYPE IMMUNOLOGIC		IP		87147	    	306	19	12.35	1.9	19	N/A	14.44	N/A	14.44	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15.73	12.14	N/A	14.82	16.91	N/A	13.15	18.62	17.48	N/A	10.07	10.07	13.22	N/A	N/A
2/5/2024	CDM	1827	30687147	HC CULTURE TYPE IMMUNOLOGIC		OP		87147	    	306	19	12.35	1.9	19	14.46	14.44	3.99	14.44	15.91	15.07	14.89	3.99	15.07	15.33	4.79	15.04	15.73	12.14	4.74	14.82	16.91	2.95	13.15	18.62	17.48	4.54	10.07	10.07	13.09	15.18	4.75
2/5/2024	CDM	1828	30687150	HC CULTURE TYPING NUCLEIC AMP EA		IP		87150	    	306	181	117.65	18.1	181	N/A	137.56	N/A	137.56	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	149.87	115.66	N/A	141.18	161.09	N/A	125.25	177.38	166.52	N/A	95.93	95.93	125.98	N/A	N/A
2/5/2024	CDM	1829	30687150	HC CULTURE TYPING NUCLEIC AMP EA		OP		87150	    	306	181	117.65	18.1	181	29.22	137.56	38.01	137.56	32.14	143.53	30.1	38.01	143.53	30.97	45.68	30.39	149.87	115.66	45.23	141.18	161.09	19.97	125.25	177.38	166.52	43.24	95.93	95.93	124.71	30.68	45.25
2/5/2024	CDM	1830	30687154	HC CULTURE TYPING ID BLD PTHGNRESIST TYPING 6		IP		87154	    	306	907	589.55	90.7	907	N/A	689.32	N/A	689.32	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	751	579.57	N/A	707.46	807.23	N/A	627.64	888.86	834.44	N/A	480.71	480.71	631.27	N/A	N/A
2/5/2024	CDM	1831	30687154	HC CULTURE TYPING ID BLD PTHGNRESIST TYPING 6		OP		87154	    	306	907	589.55	42.71	907	42.71	689.32	190.47	689.32	46.98	719.25	43.99	190.47	719.25	45.27	228.88	44.42	751	579.57	226.65	707.46	807.23	124.11	627.64	888.86	834.44	216.66	480.71	480.71	624.92	44.85	226.75
2/5/2024	CDM	1832	30687169	HC PARASITE IDMACROSCOPIC		IP		87169	    	306	99	64.35	9.9	99	N/A	75.24	N/A	75.24	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	81.97	63.26	N/A	77.22	88.11	N/A	68.51	97.02	91.08	N/A	52.47	52.47	68.9	N/A	N/A
2/5/2024	CDM	1833	30687169	HC PARASITE IDMACROSCOPIC		OP		87169	    	306	99	64.35	2.4	99	14.46	75.24	20.79	75.24	15.91	78.51	14.89	20.79	78.51	15.33	24.98	15.04	81.97	63.26	24.73	77.22	88.11	2.45	68.51	97.02	91.08	23.65	52.47	52.47	68.21	15.18	24.75
2/5/2024	CDM	1834	30687184	HC ANTIBIOTIC SENSITIVITYDISC METH		IP		87184	    	306	124	80.6	12.4	124	N/A	94.24	N/A	94.24	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	102.67	79.24	N/A	96.72	110.36	N/A	85.81	121.52	114.08	N/A	65.72	65.72	86.3	N/A	N/A
2/5/2024	CDM	1835	30687184	HC ANTIBIOTIC SENSITIVITYDISC METH		OP		87184	    	306	124	80.6	4.17	124	14.46	94.24	26.04	94.24	15.91	98.33	14.89	26.04	98.33	15.33	31.29	15.04	102.67	79.24	30.99	96.72	110.36	4.25	85.81	121.52	114.08	29.62	65.72	65.72	85.44	15.18	31
2/5/2024	CDM	1836	30687186	HC ANTIBIOTIC SENSITIVITYMIC METHO		IP		87186	    	306	124	80.6	12.4	124	N/A	94.24	N/A	94.24	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	102.67	79.24	N/A	96.72	110.36	N/A	85.81	121.52	114.08	N/A	65.72	65.72	86.3	N/A	N/A
2/5/2024	CDM	1837	30687186	HC ANTIBIOTIC SENSITIVITYMIC METHO		OP		87186	    	306	124	80.6	4.83	124	14.46	94.24	26.04	94.24	15.91	98.33	14.89	26.04	98.33	15.33	31.29	15.04	102.67	79.24	30.99	96.72	110.36	4.93	85.81	121.52	114.08	29.62	65.72	65.72	85.44	15.18	31
2/5/2024	CDM	1838	30687190	HC SUSCEPTIBILITY STUDIES ANTIMICROBIAL AGENT		IP		87190	    	306	33	21.45	3.3	33	N/A	25.08	N/A	25.08	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	27.32	21.09	N/A	25.74	29.37	N/A	22.84	32.34	30.36	N/A	17.49	17.49	22.97	N/A	N/A
2/5/2024	CDM	1839	30687190	HC SUSCEPTIBILITY STUDIES ANTIMICROBIAL AGENT		OP		87190	    	306	33	21.45	3.3	33	14.46	25.08	6.93	25.08	15.91	26.17	14.89	6.93	26.17	15.33	8.33	15.04	27.32	21.09	8.24	25.74	29.37	4.16	22.84	32.34	30.36	7.88	17.49	17.49	22.74	15.18	8.25
2/5/2024	CDM	1840	30687205	HC SMEAR GRAM OR GEIMSA		IP		87205	    	306	70	45.5	7	70	N/A	53.2	N/A	53.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	57.96	44.73	N/A	54.6	62.3	N/A	48.44	68.6	64.4	N/A	37.1	37.1	48.72	N/A	N/A
2/5/2024	CDM	1841	30687205	HC SMEAR GRAM OR GEIMSA		OP		87205	    	306	70	45.5	2.38	70	14.46	53.2	14.7	53.2	15.91	55.51	14.89	14.7	55.51	15.33	17.67	15.04	57.96	44.73	17.49	54.6	62.3	2.43	48.44	68.6	64.4	16.72	37.1	37.1	48.23	15.18	17.5
2/5/2024	CDM	1842	30687206	HC SMEAR FLUOR OR ACID FAST		IP		87206	    	306	46	29.9	4.6	46	N/A	34.96	N/A	34.96	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	38.09	29.39	N/A	35.88	40.94	N/A	31.83	45.08	42.32	N/A	24.38	24.38	32.02	N/A	N/A
2/5/2024	CDM	1843	30687206	HC SMEAR FLUOR OR ACID FAST		OP		87206	    	306	46	29.9	3.01	46	14.46	34.96	9.66	34.96	15.91	36.48	14.89	9.66	36.48	15.33	11.61	15.04	38.09	29.39	11.5	35.88	40.94	3.07	31.83	45.08	42.32	10.99	24.38	24.38	31.69	15.18	11.5
2/5/2024	CDM	1844	30687207	HC MALARIA SMEAR		IP		87207	    	306	79	51.35	7.9	79	N/A	60.04	N/A	60.04	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	65.41	50.48	N/A	61.62	70.31	N/A	54.67	77.42	72.68	N/A	41.87	41.87	54.98	N/A	N/A
2/5/2024	CDM	1845	30687207	HC MALARIA SMEAR		OP		87207	    	306	79	51.35	3.34	79	14.46	60.04	16.59	60.04	15.91	62.65	14.89	16.59	62.65	15.33	19.93	15.04	65.41	50.48	19.74	61.62	70.31	3.41	54.67	77.42	72.68	18.87	41.87	41.87	54.43	15.18	19.75
2/5/2024	CDM	1846	30687210	HC SMEAR WET MOUNT SALINEINK		IP		87210	    	306	68	44.2	6.8	68	N/A	51.68	N/A	51.68	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	56.3	43.45	N/A	53.04	60.52	N/A	47.06	66.64	62.56	N/A	36.04	36.04	47.33	N/A	N/A
2/5/2024	CDM	1847	30687210	HC SMEAR WET MOUNT SALINEINK		OP		87210	    	306	68	44.2	3.25	68	14.46	51.68	14.28	51.68	15.91	53.92	14.89	14.28	53.92	15.33	17.16	15.04	56.3	43.45	16.99	53.04	60.52	3.31	47.06	66.64	62.56	16.25	36.04	36.04	46.85	15.18	17
2/5/2024	CDM	1848	30687252	HC VIRAL CULTURE		IP		87252	    	306	74	48.1	7.4	74	N/A	56.24	N/A	56.24	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	61.27	47.29	N/A	57.72	65.86	N/A	51.21	72.52	68.08	N/A	39.22	39.22	51.5	N/A	N/A
2/5/2024	CDM	1849	30687252	HC VIRAL CULTURE		OP		87252	    	306	74	48.1	7.4	74	14.46	56.24	15.54	56.24	15.91	58.68	14.89	15.54	58.68	15.33	18.68	15.04	61.27	47.29	18.49	57.72	65.86	14.84	51.21	72.52	68.08	17.68	39.22	39.22	50.99	15.18	18.5
2/5/2024	CDM	1850	30687273	HC INFECTIOUS AGENT DETECTION BY IMMUNOFLUORESC		IP		87273	    	306	57	37.05	5.7	57	N/A	43.32	N/A	43.32	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	47.2	36.42	N/A	44.46	50.73	N/A	39.44	55.86	52.44	N/A	30.21	30.21	39.67	N/A	N/A
2/5/2024	CDM	1851	30687273	HC INFECTIOUS AGENT DETECTION BY IMMUNOFLUORESC		OP		87273	    	306	57	37.05	5.7	57	14.46	43.32	11.97	43.32	15.91	45.2	14.89	11.97	45.2	15.33	14.39	15.04	47.2	36.42	14.24	44.46	50.73	6.81	39.44	55.86	52.44	13.61	30.21	30.21	39.27	15.18	14.25
2/5/2024	CDM	1852	30687274	HC INFECTIOUS AGENT DETECTION BY IMMUNOFLUORESC		IP		87274	    	306	57	37.05	5.7	57	N/A	43.32	N/A	43.32	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	47.2	36.42	N/A	44.46	50.73	N/A	39.44	55.86	52.44	N/A	30.21	30.21	39.67	N/A	N/A
2/5/2024	CDM	1853	30687274	HC INFECTIOUS AGENT DETECTION BY IMMUNOFLUORESC		OP		87274	    	306	57	37.05	5.7	57	14.46	43.32	11.97	43.32	15.91	45.2	14.89	11.97	45.2	15.33	14.39	15.04	47.2	36.42	14.24	44.46	50.73	6.81	39.44	55.86	52.44	13.61	30.21	30.21	39.27	15.18	14.25
2/5/2024	CDM	1854	30687290	HC INFECTIOUS AGENT ANTIGEN DETECT BY IMMUNOFL		IP		87290	    	306	58	37.7	5.8	58	N/A	44.08	N/A	44.08	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	48.02	37.06	N/A	45.24	51.62	N/A	40.14	56.84	53.36	N/A	30.74	30.74	40.37	N/A	N/A
2/5/2024	CDM	1855	30687290	HC INFECTIOUS AGENT ANTIGEN DETECT BY IMMUNOFL		OP		87290	    	306	58	37.7	5.8	58	14.46	44.08	12.18	44.08	15.91	45.99	14.89	12.18	45.99	15.33	14.64	15.04	48.02	37.06	14.49	45.24	51.62	7.64	40.14	56.84	53.36	13.86	30.74	30.74	39.96	15.18	14.5
2/5/2024	CDM	1856	30687305	HC ASPERGILLUS AG EIA		IP		87305	    	306	83	53.95	8.3	83	N/A	63.08	N/A	63.08	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	68.72	53.04	N/A	64.74	73.87	N/A	57.44	81.34	76.36	N/A	43.99	43.99	57.77	N/A	N/A
2/5/2024	CDM	1857	30687305	HC ASPERGILLUS AG EIA		OP		87305	    	306	83	53.95	6.68	83	14.46	63.08	17.43	63.08	15.91	65.82	14.89	17.43	65.82	15.33	20.94	15.04	68.72	53.04	20.74	64.74	73.87	6.81	57.44	81.34	76.36	19.83	43.99	43.99	57.19	15.18	20.75
2/5/2024	CDM	1858	30687327	HC CRYPTOCOCCAL AB EIA		IP		87327	    	306	73	47.45	7.3	73	N/A	55.48	N/A	55.48	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	60.44	46.65	N/A	56.94	64.97	N/A	50.52	71.54	67.16	N/A	38.69	38.69	50.81	N/A	N/A
2/5/2024	CDM	1859	30687327	HC CRYPTOCOCCAL AB EIA		OP		87327	    	306	73	47.45	7.3	73	14.46	55.48	15.33	55.48	15.91	57.89	14.89	15.33	57.89	15.33	18.42	15.04	60.44	46.65	18.24	56.94	64.97	7.64	50.52	71.54	67.16	17.43	38.69	38.69	50.3	15.18	18.25
2/5/2024	CDM	1860	30687328	HC CRYPTOSPORIDIUM AG		IP		87328	    	306	79	51.35	7.9	79	N/A	60.04	N/A	60.04	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	65.41	50.48	N/A	61.62	70.31	N/A	54.67	77.42	72.68	N/A	41.87	41.87	54.98	N/A	N/A
2/5/2024	CDM	1861	30687328	HC CRYPTOSPORIDIUM AG		OP		87328	    	306	79	51.35	7.71	79	14.46	60.04	16.59	60.04	15.91	62.65	14.89	16.59	62.65	15.33	19.93	15.04	65.41	50.48	19.74	61.62	70.31	7.86	54.67	77.42	72.68	18.87	41.87	41.87	54.43	15.18	19.75
2/5/2024	CDM	1862	30687338	HC H PYLORI ANTIGEN STOOL		IP		87338	    	306	90	58.5	9	90	N/A	68.4	N/A	68.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	74.52	57.51	N/A	70.2	80.1	N/A	62.28	88.2	82.8	N/A	47.7	47.7	62.64	N/A	N/A
2/5/2024	CDM	1863	30687338	HC H PYLORI ANTIGEN STOOL		OP		87338	    	306	90	58.5	8.02	90	14.46	68.4	18.9	68.4	15.91	71.37	14.89	18.9	71.37	15.33	22.72	15.04	74.52	57.51	22.49	70.2	80.1	8.18	62.28	88.2	82.8	21.5	47.7	47.7	62.01	15.18	22.5
2/5/2024	CDM	1864	30687340	HC HEP B SURFACE AG		IP		87340	    	306	120	78	12	120	N/A	91.2	N/A	91.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	99.36	76.68	N/A	93.6	106.8	N/A	83.04	117.6	110.4	N/A	63.6	63.6	83.52	N/A	N/A
2/5/2024	CDM	1865	30687340	HC HEP B SURFACE AG		OP		87340	    	306	120	78	5.76	120	14.46	91.2	25.2	91.2	15.91	95.16	14.89	25.2	95.16	15.33	30.28	15.04	99.36	76.68	29.99	93.6	106.8	5.88	83.04	117.6	110.4	28.66	63.6	63.6	82.68	15.18	30
2/5/2024	CDM	1866	30687341	HC HBSAG NEUTRALIZATION		IP		87341	    	306	83	53.95	8.3	83	N/A	63.08	N/A	63.08	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	68.72	53.04	N/A	64.74	73.87	N/A	57.44	81.34	76.36	N/A	43.99	43.99	57.77	N/A	N/A
2/5/2024	CDM	1867	30687341	HC HBSAG NEUTRALIZATION		OP		87341	    	306	83	53.95	5.76	83	14.46	63.08	17.43	63.08	15.91	65.82	14.89	17.43	65.82	15.33	20.94	15.04	68.72	53.04	20.74	64.74	73.87	5.88	57.44	81.34	76.36	19.83	43.99	43.99	57.19	15.18	20.75
2/5/2024	CDM	1868	30687350	HC HEPATITIS HBE ANTIGEN		IP		87350	    	306	24	15.6	2.4	24	N/A	18.24	N/A	18.24	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	19.87	15.34	N/A	18.72	21.36	N/A	16.61	23.52	22.08	N/A	12.72	12.72	16.7	N/A	N/A
2/5/2024	CDM	1869	30687350	HC HEPATITIS HBE ANTIGEN		OP		87350	    	306	24	15.6	2.4	24	14.46	18.24	5.04	18.24	15.91	19.03	14.89	5.04	19.03	15.33	6.06	15.04	19.87	15.34	6	18.72	21.36	6.56	16.61	23.52	22.08	5.73	12.72	12.72	16.54	15.18	6
2/5/2024	CDM	1870	30687380	HC INFECTIOUS AGENT ANTIGEN IMMUNOASSAY HEPATTS		IP		87380	    	306	89	57.85	8.9	89	N/A	67.64	N/A	67.64	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	73.69	56.87	N/A	69.42	79.21	N/A	61.59	87.22	81.88	N/A	47.17	47.17	61.94	N/A	N/A
2/5/2024	CDM	1871	30687380	HC INFECTIOUS AGENT ANTIGEN IMMUNOASSAY HEPATTS		OP		87380	    	306	89	57.85	8.9	89	14.46	67.64	18.69	67.64	15.91	70.58	14.89	18.69	70.58	15.33	22.46	15.04	73.69	56.87	22.24	69.42	79.21	10.44	61.59	87.22	81.88	21.26	47.17	47.17	61.32	15.18	22.25
2/5/2024	CDM	1872	30687385	HC HISTOPLASMA AG		IP		87385	    	306	159	103.35	15.9	159	N/A	120.84	N/A	120.84	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	131.65	101.6	N/A	124.02	141.51	N/A	110.03	155.82	146.28	N/A	84.27	84.27	110.66	N/A	N/A
2/5/2024	CDM	1873	30687385	HC HISTOPLASMA AG		OP		87385	    	306	159	103.35	7.39	159	14.46	120.84	33.39	120.84	15.91	126.09	14.89	33.39	126.09	15.33	40.12	15.04	131.65	101.6	39.73	124.02	141.51	7.54	110.03	155.82	146.28	37.98	84.27	84.27	109.55	15.18	39.75
2/5/2024	CDM	1874	30687389	HC HIV1AG HIV1 AND HIV2 AB		IP		87389	    	306	274	178.1	27.4	274	N/A	208.24	N/A	208.24	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	226.87	175.09	N/A	213.72	243.86	N/A	189.61	268.52	252.08	N/A	145.22	145.22	190.7	N/A	N/A
2/5/2024	CDM	1875	30687389	HC HIV1AG HIV1 AND HIV2 AB		OP		87389	    	306	274	178.1	13.44	274	14.46	208.24	57.54	208.24	15.91	217.28	14.89	57.54	217.28	15.33	69.15	15.04	226.87	175.09	68.47	213.72	243.86	13.71	189.61	268.52	252.08	65.45	145.22	145.22	188.79	15.18	68.5
2/5/2024	CDM	1876	30687425	HC ROTAVIRUS ANTIGEN		IP		87425	    	306	93	60.45	9.3	93	N/A	70.68	N/A	70.68	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	77	59.43	N/A	72.54	82.77	N/A	64.36	91.14	85.56	N/A	49.29	49.29	64.73	N/A	N/A
2/5/2024	CDM	1877	30687425	HC ROTAVIRUS ANTIGEN		OP		87425	    	306	93	60.45	6.68	93	14.46	70.68	19.53	70.68	15.91	73.75	14.89	19.53	73.75	15.33	23.47	15.04	77	59.43	23.24	72.54	82.77	6.81	64.36	91.14	85.56	22.22	49.29	49.29	64.08	15.18	23.25
2/5/2024	CDM	1878	30687427	HC SHIGALIKE TOXIN		IP		87427	    	306	85	55.25	8.5	85	N/A	64.6	N/A	64.6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	70.38	54.31	N/A	66.3	75.65	N/A	58.82	83.3	78.2	N/A	45.05	45.05	59.16	N/A	N/A
2/5/2024	CDM	1879	30687427	HC SHIGALIKE TOXIN		OP		87427	    	306	85	55.25	6.68	85	14.46	64.6	17.85	64.6	15.91	67.4	14.89	17.85	67.4	15.33	21.45	15.04	70.38	54.31	21.24	66.3	75.65	6.81	58.82	83.3	78.2	20.31	45.05	45.05	58.56	15.18	21.25
2/5/2024	CDM	1880	30687449	HC INFECTIOUS AGENT AG DETECT MULTI NOS EACH		IP		87449	    	306	199	129.35	19.9	199	N/A	151.24	N/A	151.24	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	164.77	127.16	N/A	155.22	177.11	N/A	137.71	195.02	183.08	N/A	105.47	105.47	138.5	N/A	N/A
