	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																			
2/5/2024	CDM	1366	30183916	HC OLIGOCLONAL BANDS		IP		83916	    	301	102	66.3	10.2	102	N/A	68.34	N/A	68.34	N/A	64.97	N/A	N/A	64.87	N/A	N/A	N/A	81.4	41.72	N/A	76.5	80.58	N/A	N/A	66.3	91.8	76.5	N/A	54.06	54.06	61.81	N/A	N/A
2/5/2024	CDM	1367	30183916	HC OLIGOCLONAL BANDS		OP		83916	    	301	102	66.3	10.2	102	18.07	68.34	24.48	68.34	19.88	64.97	18.61	24.48	64.87	19.15	27.8	18.79	81.4	41.72	27.52	76.5	80.58	26.99	15.59	66.3	91.8	76.5	26.31	54.06	54.06	63.44	18.97	27.54
2/5/2024	CDM	1368	30183921	HC METHYLMALONIC ACID		IP		83921	    	301	23	14.95	2.3	23	N/A	15.41	N/A	15.41	N/A	14.65	N/A	N/A	14.63	N/A	N/A	N/A	18.35	9.41	N/A	17.25	18.17	N/A	N/A	14.95	20.7	17.25	N/A	12.19	12.19	13.94	N/A	N/A
2/5/2024	CDM	1369	30183921	HC METHYLMALONIC ACID		OP		83921	    	301	23	14.95	2.3	23	15.72	15.41	5.52	15.41	17.29	14.65	16.19	5.52	14.63	16.66	6.27	16.35	18.35	9.41	6.21	17.25	18.17	6.09	12.08	14.95	20.7	17.25	5.93	12.19	12.19	14.31	16.51	6.21
2/5/2024	CDM	1370	30183930	HC OSMOLALITY		IP		83930	    	301	87	56.55	8.7	87	N/A	58.29	N/A	58.29	N/A	55.42	N/A	N/A	55.33	N/A	N/A	N/A	69.43	35.58	N/A	65.25	68.73	N/A	N/A	56.55	78.3	65.25	N/A	46.11	46.11	52.72	N/A	N/A
2/5/2024	CDM	1371	30183930	HC OSMOLALITY		OP		83930	    	301	87	56.55	3.69	87	10.18	58.29	20.88	58.29	11.2	55.42	10.49	20.88	55.33	10.79	23.71	10.59	69.43	35.58	23.48	65.25	68.73	23.02	3.76	56.55	78.3	65.25	22.44	46.11	46.11	54.11	10.69	23.49
2/5/2024	CDM	1372	30183935	HC URINE OSMOLALITY		IP		83935	    	301	87	56.55	8.7	87	N/A	58.29	N/A	58.29	N/A	55.42	N/A	N/A	55.33	N/A	N/A	N/A	69.43	35.58	N/A	65.25	68.73	N/A	N/A	56.55	78.3	65.25	N/A	46.11	46.11	52.72	N/A	N/A
2/5/2024	CDM	1373	30183935	HC URINE OSMOLALITY		OP		83935	    	301	87	56.55	3.81	87	10.18	58.29	20.88	58.29	11.2	55.42	10.49	20.88	55.33	10.79	23.71	10.59	69.43	35.58	23.48	65.25	68.73	23.02	3.89	56.55	78.3	65.25	22.44	46.11	46.11	54.11	10.69	23.49
2/5/2024	CDM	1374	30183951	HC DCP DES GAM CARB PRO		IP		83951	    	301	281	182.65	28.1	281	N/A	188.27	N/A	188.27	N/A	179	N/A	N/A	178.72	N/A	N/A	N/A	224.24	114.93	N/A	210.75	221.99	N/A	N/A	182.65	252.9	210.75	N/A	148.93	148.93	170.29	N/A	N/A
2/5/2024	CDM	1375	30183951	HC DCP DES GAM CARB PRO		OP		83951	    	301	281	182.65	18.07	281	18.07	188.27	67.44	188.27	19.88	179	18.61	67.44	178.72	19.15	76.58	18.79	224.24	114.93	75.83	210.75	221.99	74.35	36.66	182.65	252.9	210.75	72.49	148.93	148.93	174.78	18.97	75.87
2/5/2024	CDM	1376	30183970	HC PTH IRMA		IP		83970	    	301	225	146.25	22.5	225	N/A	150.75	N/A	150.75	N/A	143.32	N/A	N/A	143.1	N/A	N/A	N/A	179.55	92.02	N/A	168.75	177.75	N/A	N/A	146.25	202.5	168.75	N/A	119.25	119.25	136.35	N/A	N/A
2/5/2024	CDM	1377	30183970	HC PTH IRMA		OP		83970	    	301	225	146.25	22.5	225	23.98	150.75	54	150.75	26.38	143.32	24.7	54	143.1	25.42	61.32	24.94	179.55	92.02	60.72	168.75	177.75	59.53	23.49	146.25	202.5	168.75	58.05	119.25	119.25	139.95	25.18	60.75
2/5/2024	CDM	1378	30183986	HC PH FLUID		IP		83986	    	301	16	10.4	1.6	16	N/A	10.72	N/A	10.72	N/A	10.19	N/A	N/A	10.18	N/A	N/A	N/A	12.77	6.54	N/A	12	12.64	N/A	N/A	10.4	14.4	12	N/A	8.48	8.48	9.7	N/A	N/A
2/5/2024	CDM	1379	30183986	HC PH FLUID		OP		83986	    	301	16	10.4	1.6	16	10.18	10.72	3.84	10.72	11.2	10.19	10.49	3.84	10.18	10.79	4.36	10.59	12.77	6.54	4.31	12	12.64	4.23	2.04	10.4	14.4	12	4.13	8.48	8.48	9.95	10.69	4.32
2/5/2024	CDM	1380	30183992	HC PHENCYCLIDINE QUANT		IP		83992	    	301	88	57.2	8.8	88	N/A	58.96	N/A	58.96	N/A	56.06	N/A	N/A	55.97	N/A	N/A	N/A	70.22	35.99	N/A	66	69.52	N/A	N/A	57.2	79.2	66	N/A	46.64	46.64	53.33	N/A	N/A
2/5/2024	CDM	1381	30183992	HC PHENCYCLIDINE QUANT		OP		83992	    	301	88	57.2	8.8	88	14.04	58.96	21.12	58.96	15.44	56.06	14.46	21.12	55.97	14.88	23.98	14.6	70.22	35.99	23.74	66	69.52	23.28	N/A	57.2	79.2	66	22.71	46.64	46.64	54.74	14.74	23.76
2/5/2024	CDM	1382	30183993	HC CALPROTECTIN		IP		83993	    	301	284	184.6	28.4	284	N/A	190.28	N/A	190.28	N/A	180.91	N/A	N/A	180.62	N/A	N/A	N/A	226.63	116.16	N/A	213	224.36	N/A	N/A	184.6	255.6	213	N/A	150.52	150.52	172.1	N/A	N/A
2/5/2024	CDM	1383	30183993	HC CALPROTECTIN		OP		83993	    	301	284	184.6	10.95	284	15.72	190.28	68.16	190.28	17.29	180.91	16.19	68.16	180.62	16.66	77.4	16.35	226.63	116.16	76.65	213	224.36	75.15	11.17	184.6	255.6	213	73.26	150.52	150.52	176.65	16.51	76.68
2/5/2024	CDM	1384	30184030	HC NEWBORN SCREEN PRE		IP		84030	    	301	102	66.3	10.2	102	N/A	68.34	N/A	68.34	N/A	64.97	N/A	N/A	64.87	N/A	N/A	N/A	81.4	41.72	N/A	76.5	80.58	N/A	N/A	66.3	91.8	76.5	N/A	54.06	54.06	61.81	N/A	N/A
2/5/2024	CDM	1385	30184030	HC NEWBORN SCREEN PRE		OP		84030	    	301	102	66.3	3.07	102	10.18	68.34	24.48	68.34	11.2	64.97	10.49	24.48	64.87	10.79	27.8	10.59	81.4	41.72	27.52	76.5	80.58	26.99	3.13	66.3	91.8	76.5	26.31	54.06	54.06	63.44	10.69	27.54
2/5/2024	CDM	1386	30184066	HC PROSTATIC ACID PHOS		IP		84066	    	301	24	15.6	2.4	24	N/A	16.08	N/A	16.08	N/A	15.29	N/A	N/A	15.26	N/A	N/A	N/A	19.15	9.82	N/A	18	18.96	N/A	N/A	15.6	21.6	18	N/A	12.72	12.72	14.54	N/A	N/A
2/5/2024	CDM	1387	30184066	HC PROSTATIC ACID PHOS		OP		84066	    	301	24	15.6	2.4	24	10.18	16.08	5.76	16.08	11.2	15.29	10.49	5.76	15.26	10.79	6.54	10.59	19.15	9.82	6.47	18	18.96	6.35	5.5	15.6	21.6	18	6.19	12.72	12.72	14.93	10.69	6.48
2/5/2024	CDM	1388	30184075	HC ALKALINE PHOSPHATASE		IP		84075	    	301	118	76.7	11.8	118	N/A	79.06	N/A	79.06	N/A	75.17	N/A	N/A	75.05	N/A	N/A	N/A	94.16	48.26	N/A	88.5	93.22	N/A	N/A	76.7	106.2	88.5	N/A	62.54	62.54	71.51	N/A	N/A
2/5/2024	CDM	1389	30184075	HC ALKALINE PHOSPHATASE		OP		84075	    	301	118	76.7	2.89	118	10.18	79.06	28.32	79.06	11.2	75.17	10.49	28.32	75.05	10.79	32.16	10.59	94.16	48.26	31.84	88.5	93.22	31.22	2.95	76.7	106.2	88.5	30.44	62.54	62.54	73.4	10.69	31.86
2/5/2024	CDM	1390	30184080	HC ALKALINE PHOS ISO		IP		84080	    	301	35	22.75	3.5	35	N/A	23.45	N/A	23.45	N/A	22.3	N/A	N/A	22.26	N/A	N/A	N/A	27.93	14.31	N/A	26.25	27.65	N/A	N/A	22.75	31.5	26.25	N/A	18.55	18.55	21.21	N/A	N/A
2/5/2024	CDM	1391	30184080	HC ALKALINE PHOS ISO		OP		84080	    	301	35	22.75	3.5	35	15.72	23.45	8.4	23.45	17.29	22.3	16.19	8.4	22.26	16.66	9.54	16.35	27.93	14.31	9.44	26.25	27.65	9.26	8.42	22.75	31.5	26.25	9.03	18.55	18.55	21.77	16.51	9.45
2/5/2024	CDM	1392	30184087	HC PHOSPHOHEXOSE ISOMERASE		IP		84087	    	301	46	29.9	4.6	46	N/A	30.82	N/A	30.82	N/A	29.3	N/A	N/A	29.26	N/A	N/A	N/A	36.71	18.81	N/A	34.5	36.34	N/A	N/A	29.9	41.4	34.5	N/A	24.38	24.38	27.88	N/A	N/A
2/5/2024	CDM	1393	30184087	HC PHOSPHOHEXOSE ISOMERASE		OP		84087	    	301	46	29.9	4.6	46	10.18	30.82	11.04	30.82	11.2	29.3	10.49	11.04	29.26	10.79	12.54	10.59	36.71	18.81	12.41	34.5	36.34	12.17	6.11	29.9	41.4	34.5	11.87	24.38	24.38	28.61	10.69	12.42
2/5/2024	CDM	1394	30184100	HC PHOSPHORUS		IP		84100	    	301	65	42.25	6.5	65	N/A	43.55	N/A	43.55	N/A	41.41	N/A	N/A	41.34	N/A	N/A	N/A	51.87	26.58	N/A	48.75	51.35	N/A	N/A	42.25	58.5	48.75	N/A	34.45	34.45	39.39	N/A	N/A
2/5/2024	CDM	1395	30184100	HC PHOSPHORUS		OP		84100	    	301	65	42.25	2.64	65	10.18	43.55	15.6	43.55	11.2	41.41	10.49	15.6	41.34	10.79	17.72	10.59	51.87	26.58	17.54	48.75	51.35	17.2	2.69	42.25	58.5	48.75	16.77	34.45	34.45	40.43	10.69	17.55
2/5/2024	CDM	1396	30184105	HC PHOS RANDOM OR 24 HR URINE		IP		84105	    	301	104	67.6	10.4	104	N/A	69.68	N/A	69.68	N/A	66.25	N/A	N/A	66.14	N/A	N/A	N/A	82.99	42.54	N/A	78	82.16	N/A	N/A	67.6	93.6	78	N/A	55.12	55.12	63.02	N/A	N/A
2/5/2024	CDM	1397	30184105	HC PHOS RANDOM OR 24 HR URINE		OP		84105	    	301	104	67.6	3.23	104	10.18	69.68	24.96	69.68	11.2	66.25	10.49	24.96	66.14	10.79	28.35	10.59	82.99	42.54	28.07	78	82.16	27.52	3.29	67.6	93.6	78	26.83	55.12	55.12	64.69	10.69	28.08
2/5/2024	CDM	1398	30184110	HC PORPHOBILINOGENQT		IP		84110	    	301	60	39	6	60	N/A	40.2	N/A	40.2	N/A	38.22	N/A	N/A	38.16	N/A	N/A	N/A	47.88	24.54	N/A	45	47.4	N/A	N/A	39	54	45	N/A	31.8	31.8	36.36	N/A	N/A
2/5/2024	CDM	1399	30184110	HC PORPHOBILINOGENQT		OP		84110	    	301	60	39	4.71	60	10.18	40.2	14.4	40.2	11.2	38.22	10.49	14.4	38.16	10.79	16.36	10.59	47.88	24.54	16.19	45	47.4	15.88	4.8	39	54	45	15.47	31.8	31.8	37.32	10.69	16.2
2/5/2024	CDM	1400	30184120	HC PORPHYRINS QTFRAC		IP		84120	    	301	99	64.35	9.9	99	N/A	66.33	N/A	66.33	N/A	63.06	N/A	N/A	62.96	N/A	N/A	N/A	79	40.49	N/A	74.25	78.21	N/A	N/A	64.35	89.1	74.25	N/A	52.47	52.47	59.99	N/A	N/A
2/5/2024	CDM	1401	30184120	HC PORPHYRINS QTFRAC		OP		84120	    	301	99	64.35	8.21	99	15.72	66.33	23.76	66.33	17.29	63.06	16.19	23.76	62.96	16.66	26.99	16.35	79	40.49	26.72	74.25	78.21	26.2	8.37	64.35	89.1	74.25	25.54	52.47	52.47	61.58	16.51	26.73
2/5/2024	CDM	1402	30184132	HC POTASSIUM EXCEPT URINE		IP		84132	    	301	65	42.25	6.5	65	N/A	43.55	N/A	43.55	N/A	41.41	N/A	N/A	41.34	N/A	N/A	N/A	51.87	26.58	N/A	48.75	51.35	N/A	N/A	42.25	58.5	48.75	N/A	34.45	34.45	39.39	N/A	N/A
2/5/2024	CDM	1403	30184132	HC POTASSIUM EXCEPT URINE		OP		84132	    	301	65	42.25	2.66	65	10.18	43.55	15.6	43.55	11.2	41.41	10.49	15.6	41.34	10.79	17.72	10.59	51.87	26.58	17.54	48.75	51.35	17.2	2.71	42.25	58.5	48.75	16.77	34.45	34.45	40.43	10.69	17.55
2/5/2024	CDM	1404	30184133	HC URINE POTASSIUM		IP		84133	    	301	65	42.25	6.5	65	N/A	43.55	N/A	43.55	N/A	41.41	N/A	N/A	41.34	N/A	N/A	N/A	51.87	26.58	N/A	48.75	51.35	N/A	N/A	42.25	58.5	48.75	N/A	34.45	34.45	39.39	N/A	N/A
2/5/2024	CDM	1405	30184133	HC URINE POTASSIUM		OP		84133	    	301	65	42.25	2.64	65	10.18	43.55	15.6	43.55	11.2	41.41	10.49	15.6	41.34	10.79	17.72	10.59	51.87	26.58	17.54	48.75	51.35	17.2	2.69	42.25	58.5	48.75	16.77	34.45	34.45	40.43	10.69	17.55
2/5/2024	CDM	1406	30184134	HC PREALBUMIN		IP		84134	    	301	257	167.05	25.7	257	N/A	172.19	N/A	172.19	N/A	163.71	N/A	N/A	163.45	N/A	N/A	N/A	205.09	105.11	N/A	192.75	203.03	N/A	N/A	167.05	231.3	192.75	N/A	136.21	136.21	155.74	N/A	N/A
2/5/2024	CDM	1407	30184134	HC PREALBUMIN		OP		84134	    	301	257	167.05	8.14	257	15.72	172.19	61.68	172.19	17.29	163.71	16.19	61.68	163.45	16.66	70.04	16.35	205.09	105.11	69.36	192.75	203.03	68	8.3	167.05	231.3	192.75	66.31	136.21	136.21	159.85	16.51	69.39
2/5/2024	CDM	1408	30184140	HC PREGNENOLONE		IP		84140	    	301	50	32.5	5	50	N/A	33.5	N/A	33.5	N/A	31.85	N/A	N/A	31.8	N/A	N/A	N/A	39.9	20.45	N/A	37.5	39.5	N/A	N/A	32.5	45	37.5	N/A	26.5	26.5	30.3	N/A	N/A
2/5/2024	CDM	1409	30184140	HC PREGNENOLONE		OP		84140	    	301	50	32.5	5	50	19.06	33.5	12	33.5	20.97	31.85	19.63	12	31.8	20.2	13.63	19.82	39.9	20.45	13.49	37.5	39.5	13.23	11.76	32.5	45	37.5	12.9	26.5	26.5	31.1	20.01	13.5
2/5/2024	CDM	1410	30184143	HC 17 OH PREGNENOLONE		IP		84143	    	301	50	32.5	5	50	N/A	33.5	N/A	33.5	N/A	31.85	N/A	N/A	31.8	N/A	N/A	N/A	39.9	20.45	N/A	37.5	39.5	N/A	N/A	32.5	45	37.5	N/A	26.5	26.5	30.3	N/A	N/A
2/5/2024	CDM	1411	30184143	HC 17 OH PREGNENOLONE		OP		84143	    	301	50	32.5	5	50	19.06	33.5	12	33.5	20.97	31.85	19.63	12	31.8	20.2	13.63	19.82	39.9	20.45	13.49	37.5	39.5	13.23	12.98	32.5	45	37.5	12.9	26.5	26.5	31.1	20.01	13.5
2/5/2024	CDM	1412	30184146	HC PROLACTIN		IP		84146	    	301	214	139.1	21.4	214	N/A	143.38	N/A	143.38	N/A	136.32	N/A	N/A	136.1	N/A	N/A	N/A	170.77	87.53	N/A	160.5	169.06	N/A	N/A	139.1	192.6	160.5	N/A	113.42	113.42	129.68	N/A	N/A
2/5/2024	CDM	1413	30184146	HC PROLACTIN		OP		84146	    	301	214	139.1	10.81	214	19.06	143.38	51.36	143.38	20.97	136.32	19.63	51.36	136.1	20.2	58.32	19.82	170.77	87.53	57.75	160.5	169.06	56.62	11.03	139.1	192.6	160.5	55.21	113.42	113.42	133.11	20.01	57.78
2/5/2024	CDM	1414	30184153	HC PSA SCREEN		IP		84153	    	301	169	109.85	16.9	169	N/A	113.23	N/A	113.23	N/A	107.65	N/A	N/A	107.48	N/A	N/A	N/A	134.86	69.12	N/A	126.75	133.51	N/A	N/A	109.85	152.1	126.75	N/A	89.57	89.57	102.41	N/A	N/A
2/5/2024	CDM	1415	30184153	HC PSA SCREEN		OP		84153	    	301	169	109.85	10.26	169	15.72	113.23	40.56	113.23	17.29	107.65	16.19	40.56	107.48	16.66	46.06	16.35	134.86	69.12	45.61	126.75	133.51	44.72	10.47	109.85	152.1	126.75	43.6	89.57	89.57	105.12	16.51	45.63
2/5/2024	CDM	1416	30184155	HC PROTEIN TOT NON REFRAC SER		IP		84155	    	301	75	48.75	7.5	75	N/A	50.25	N/A	50.25	N/A	47.77	N/A	N/A	47.7	N/A	N/A	N/A	59.85	30.67	N/A	56.25	59.25	N/A	N/A	48.75	67.5	56.25	N/A	39.75	39.75	45.45	N/A	N/A
2/5/2024	CDM	1417	30184155	HC PROTEIN TOT NON REFRAC SER		OP		84155	    	301	75	48.75	2.05	75	10.18	50.25	18	50.25	11.2	47.77	10.49	18	47.7	10.79	20.44	10.59	59.85	30.67	20.23	56.25	59.25	19.84	2.09	48.75	67.5	56.25	19.35	39.75	39.75	46.65	10.69	20.25
2/5/2024	CDM	1418	30184156	HC PROTEIN TOTAL URINE		IP		84156	    	301	75	48.75	7.5	75	N/A	50.25	N/A	50.25	N/A	47.77	N/A	N/A	47.7	N/A	N/A	N/A	59.85	30.67	N/A	56.25	59.25	N/A	N/A	48.75	67.5	56.25	N/A	39.75	39.75	45.45	N/A	N/A
2/5/2024	CDM	1419	30184156	HC PROTEIN TOTAL URINE		OP		84156	    	301	75	48.75	2.05	75	10.18	50.25	18	50.25	11.2	47.77	10.49	18	47.7	10.79	20.44	10.59	59.85	30.67	20.23	56.25	59.25	19.84	2.09	48.75	67.5	56.25	19.35	39.75	39.75	46.65	10.69	20.25
2/5/2024	CDM	1420	30184157	HC PROTEIN TOTAL OTHER		IP		84157	    	301	21	13.65	2.1	21	N/A	14.07	N/A	14.07	N/A	13.38	N/A	N/A	13.36	N/A	N/A	N/A	16.76	8.59	N/A	15.75	16.59	N/A	N/A	13.65	18.9	15.75	N/A	11.13	11.13	12.73	N/A	N/A
2/5/2024	CDM	1421	30184157	HC PROTEIN TOTAL OTHER		OP		84157	    	301	21	13.65	2.1	21	10.18	14.07	5.04	14.07	11.2	13.38	10.49	5.04	13.36	10.79	5.73	10.59	16.76	8.59	5.67	15.75	16.59	5.56	2.27	13.65	18.9	15.75	5.42	11.13	11.13	13.06	10.69	5.67
2/5/2024	CDM	1422	30184166	HC PROTEIN ELECTROPHORESIS FRACT AND QUANT OTHR		IP		84166	    	301	214	139.1	21.4	214	N/A	143.38	N/A	143.38	N/A	136.32	N/A	N/A	136.1	N/A	N/A	N/A	170.77	87.53	N/A	160.5	169.06	N/A	N/A	139.1	192.6	160.5	N/A	113.42	113.42	129.68	N/A	N/A
2/5/2024	CDM	1423	30184166	HC PROTEIN ELECTROPHORESIS FRACT AND QUANT OTHR		OP		84166	    	301	214	139.1	9.95	214	15.72	143.38	51.36	143.38	17.29	136.32	16.19	51.36	136.1	16.66	58.32	16.35	170.77	87.53	57.75	160.5	169.06	56.62	10.15	139.1	192.6	160.5	55.21	113.42	113.42	133.11	16.51	57.78
2/5/2024	CDM	1424	30184182	HC WESTERN BLOT		IP		84182	    	301	459	298.35	45.9	459	N/A	307.53	N/A	307.53	N/A	292.38	N/A	N/A	291.92	N/A	N/A	N/A	366.28	187.73	N/A	344.25	362.61	N/A	N/A	298.35	413.1	344.25	N/A	243.27	243.27	278.15	N/A	N/A
2/5/2024	CDM	1425	30184182	HC WESTERN BLOT		OP		84182	    	301	459	298.35	16.3	459	24.83	307.53	110.16	307.53	27.31	292.38	25.57	110.16	291.92	26.32	125.09	25.82	366.28	187.73	123.87	344.25	362.61	121.45	16.63	298.35	413.1	344.25	118.41	243.27	243.27	285.5	26.07	123.93
2/5/2024	CDM	1426	30184202	HC ZINC PROTOPORPHYRIN  RBC QUANT		IP		84202	    	301	22	14.3	2.2	22	N/A	14.74	N/A	14.74	N/A	14.01	N/A	N/A	13.99	N/A	N/A	N/A	17.56	9	N/A	16.5	17.38	N/A	N/A	14.3	19.8	16.5	N/A	11.66	11.66	13.33	N/A	N/A
2/5/2024	CDM	1427	30184202	HC ZINC PROTOPORPHYRIN  RBC QUANT		OP		84202	    	301	22	14.3	2.2	22	15.72	14.74	5.28	14.74	17.29	14.01	16.19	5.28	13.99	16.66	5.99	16.35	17.56	9	5.93	16.5	17.38	5.82	8.17	14.3	19.8	16.5	5.67	11.66	11.66	13.68	16.51	5.94
2/5/2024	CDM	1428	30184206	HC PROINSULIN		IP		84206	    	301	115	74.75	11.5	115	N/A	77.05	N/A	77.05	N/A	73.25	N/A	N/A	73.14	N/A	N/A	N/A	91.77	47.03	N/A	86.25	90.85	N/A	N/A	74.75	103.5	86.25	N/A	60.95	60.95	69.69	N/A	N/A
2/5/2024	CDM	1429	30184206	HC PROINSULIN		OP		84206	    	301	115	74.75	11.5	115	19.06	77.05	27.6	77.05	20.97	73.25	19.63	27.6	73.14	20.2	31.34	19.82	91.77	47.03	31.03	86.25	90.85	30.43	N/A	74.75	103.5	86.25	29.66	60.95	60.95	71.53	20.01	31.05
2/5/2024	CDM	1430	30184207	HC VITAMIN B6		IP		84207	    	301	43	27.95	4.3	43	N/A	28.81	N/A	28.81	N/A	27.39	N/A	N/A	27.35	N/A	N/A	N/A	34.31	17.59	N/A	32.25	33.97	N/A	N/A	27.95	38.7	32.25	N/A	22.79	22.79	26.06	N/A	N/A
2/5/2024	CDM	1431	30184207	HC VITAMIN B6		OP		84207	    	301	43	27.95	4.3	43	18.07	28.81	10.32	28.81	19.88	27.39	18.61	10.32	27.35	19.15	11.72	18.79	34.31	17.59	11.6	32.25	33.97	11.38	15.99	27.95	38.7	32.25	11.09	22.79	22.79	26.75	18.97	11.61
2/5/2024	CDM	1432	30184220	HC PYRUVATE KINASE		IP		84220	    	301	41	26.65	4.1	41	N/A	27.47	N/A	27.47	N/A	26.12	N/A	N/A	26.08	N/A	N/A	N/A	32.72	16.77	N/A	30.75	32.39	N/A	N/A	26.65	36.9	30.75	N/A	21.73	21.73	24.85	N/A	N/A
2/5/2024	CDM	1433	30184220	HC PYRUVATE KINASE		OP		84220	    	301	41	26.65	4.1	41	10.18	27.47	9.84	27.47	11.2	26.12	10.49	9.84	26.08	10.79	11.18	10.59	32.72	16.77	11.06	30.75	32.39	10.85	5.38	26.65	36.9	30.75	10.57	21.73	21.73	25.5	10.69	11.07
2/5/2024	CDM	1434	30184238	HC RECEPTOR NONENDOCRINE		IP		84238	    	301	56	36.4	5.6	56	N/A	37.52	N/A	37.52	N/A	35.67	N/A	N/A	35.62	N/A	N/A	N/A	44.69	22.9	N/A	42	44.24	N/A	N/A	36.4	50.4	42	N/A	29.68	29.68	33.94	N/A	N/A
2/5/2024	CDM	1435	30184238	HC RECEPTOR NONENDOCRINE		OP		84238	    	301	56	36.4	5.6	56	18.07	37.52	13.44	37.52	19.88	35.67	18.61	13.44	35.62	19.15	15.26	18.79	44.69	22.9	15.11	42	44.24	14.82	20.82	36.4	50.4	42	14.45	29.68	29.68	34.83	18.97	15.12
2/5/2024	CDM	1436	30184244	HC RENIN		IP		84244	    	301	32	20.8	3.2	32	N/A	21.44	N/A	21.44	N/A	20.38	N/A	N/A	20.35	N/A	N/A	N/A	25.54	13.09	N/A	24	25.28	N/A	N/A	20.8	28.8	24	N/A	16.96	16.96	19.39	N/A	N/A
2/5/2024	CDM	1437	30184244	HC RENIN		OP		84244	    	301	32	20.8	3.2	32	19.06	21.44	7.68	21.44	20.97	20.38	19.63	7.68	20.35	20.2	8.72	19.82	25.54	13.09	8.63	24	25.28	8.47	12.52	20.8	28.8	24	8.25	16.96	16.96	19.9	20.01	8.64
2/5/2024	CDM	1438	30184252	HC RIBOFLAVIN VITAMIN B2		IP		84252	    	301	65	42.25	6.5	65	N/A	43.55	N/A	43.55	N/A	41.41	N/A	N/A	41.34	N/A	N/A	N/A	51.87	26.58	N/A	48.75	51.35	N/A	N/A	42.25	58.5	48.75	N/A	34.45	34.45	39.39	N/A	N/A
2/5/2024	CDM	1439	30184252	HC RIBOFLAVIN VITAMIN B2		OP		84252	    	301	65	42.25	6.5	65	15.72	43.55	15.6	43.55	17.29	41.41	16.19	15.6	41.34	16.66	17.72	16.35	51.87	26.58	17.54	48.75	51.35	17.2	11.52	42.25	58.5	48.75	16.77	34.45	34.45	40.43	16.51	17.55
2/5/2024	CDM	1440	30184255	HC SELENIUM		IP		84255	    	301	40	26	4	40	N/A	26.8	N/A	26.8	N/A	25.48	N/A	N/A	25.44	N/A	N/A	N/A	31.92	16.36	N/A	30	31.6	N/A	N/A	26	36	30	N/A	21.2	21.2	24.24	N/A	N/A
2/5/2024	CDM	1441	30184255	HC SELENIUM		OP		84255	    	301	40	26	4	40	14.04	26.8	9.6	26.8	15.44	25.48	14.46	9.6	25.44	14.88	10.9	14.6	31.92	16.36	10.79	30	31.6	10.58	14.54	26	36	30	10.32	21.2	21.2	24.88	14.74	10.8
2/5/2024	CDM	1442	30184270	HC SEX HORMONE GLB		IP		84270	    	301	66	42.9	6.6	66	N/A	44.22	N/A	44.22	N/A	42.04	N/A	N/A	41.98	N/A	N/A	N/A	52.67	26.99	N/A	49.5	52.14	N/A	N/A	42.9	59.4	49.5	N/A	34.98	34.98	40	N/A	N/A
2/5/2024	CDM	1443	30184270	HC SEX HORMONE GLB		OP		84270	    	301	66	42.9	6.6	66	15.72	44.22	15.84	44.22	17.29	42.04	16.19	15.84	41.98	16.66	17.98	16.35	52.67	26.99	17.8	49.5	52.14	17.46	N/A	42.9	59.4	49.5	17.02	34.98	34.98	41.05	16.51	17.82
2/5/2024	CDM	1444	30184295	HC SODIUM SERUM		IP		84295	    	301	65	42.25	6.5	65	N/A	43.55	N/A	43.55	N/A	41.41	N/A	N/A	41.34	N/A	N/A	N/A	51.87	26.58	N/A	48.75	51.35	N/A	N/A	42.25	58.5	48.75	N/A	34.45	34.45	39.39	N/A	N/A
2/5/2024	CDM	1445	30184295	HC SODIUM SERUM		OP		84295	    	301	65	42.25	2.68	65	10.18	43.55	15.6	43.55	11.2	41.41	10.49	15.6	41.34	10.79	17.72	10.59	51.87	26.58	17.54	48.75	51.35	17.2	2.73	42.25	58.5	48.75	16.77	34.45	34.45	40.43	10.69	17.55
2/5/2024	CDM	1446	30184300	HC URINE SODIUM		IP		84300	    	301	65	42.25	6.5	65	N/A	43.55	N/A	43.55	N/A	41.41	N/A	N/A	41.34	N/A	N/A	N/A	51.87	26.58	N/A	48.75	51.35	N/A	N/A	42.25	58.5	48.75	N/A	34.45	34.45	39.39	N/A	N/A
2/5/2024	CDM	1447	30184300	HC URINE SODIUM		OP		84300	    	301	65	42.25	2.82	65	10.18	43.55	15.6	43.55	11.2	41.41	10.49	15.6	41.34	10.79	17.72	10.59	51.87	26.58	17.54	48.75	51.35	17.2	2.88	42.25	58.5	48.75	16.77	34.45	34.45	40.43	10.69	17.55
2/5/2024	CDM	1448	30184302	HC SODIUM FLUID		IP		84302	    	301	65	42.25	6.5	65	N/A	43.55	N/A	43.55	N/A	41.41	N/A	N/A	41.34	N/A	N/A	N/A	51.87	26.58	N/A	48.75	51.35	N/A	N/A	42.25	58.5	48.75	N/A	34.45	34.45	39.39	N/A	N/A
