	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																													
2/15/2024	CDM	864	20600004	HC RB PEDS INTERMEDIATE		IP			    	206	6220	4043	44.8	7325	550	N/A	6949	N/A	7325	N/A	6289	N/A	0	N/A	N/A	0	N/A	3110	N/A	N/A	N/A	2668.38	3078.9	2440.88	N/A	2440.88	2985.6	1632	2046.38	4665	3234.4	N/A	N/A	N/A	4043	4976	N/A	N/A	N/A	N/A	550	N/A
2/15/2024	CDM	865	20600005	HC RB ACH INTERMEDIATE		IP			    	206	6220	4043	44.8	7325	550	N/A	6949	N/A	7325	N/A	6289	N/A	0	N/A	N/A	0	N/A	3110	N/A	N/A	N/A	2668.38	3078.9	2440.88	N/A	2440.88	2985.6	1632	2046.38	4665	3234.4	N/A	N/A	N/A	4043	4976	N/A	N/A	N/A	N/A	550	N/A
2/15/2024	CDM	866	20600006	HC RB PRIVATE PSYCH INTERMEDIATE		IP			    	206	6287	4086.55	44.8	7325	550	N/A	6949	N/A	7325	N/A	6289	N/A	0	N/A	N/A	0	N/A	3143.5	N/A	N/A	N/A	2697.12	3112.07	2440.88	N/A	2440.88	3017.76	1632	2068.42	4715.25	3269.24	N/A	N/A	N/A	4086.55	5029.6	N/A	N/A	N/A	N/A	550	N/A
2/15/2024	CDM	867	20600007	HC RB SEMI PRIVATE PSYCH INTERMEDIATE		IP			    	206	6287	4086.55	44.8	7325	550	N/A	6949	N/A	7325	N/A	6289	N/A	0	N/A	N/A	0	N/A	3143.5	N/A	N/A	N/A	2697.12	3112.07	2440.88	N/A	2440.88	3017.76	1632	2068.42	4715.25	3269.24	N/A	N/A	N/A	4086.55	5029.6	N/A	N/A	N/A	N/A	550	N/A
2/15/2024	CDM	868	21100000	HC RB CCU		IP			    	211	9746	6334.9	44.8	9746	550	N/A	6949	N/A	7325	N/A	6289	N/A	0	N/A	N/A	0	N/A	4873	N/A	N/A	N/A	4181.03	4824.27	2440.88	N/A	2440.88	4678.08	1632	3206.43	7309.5	5067.92	N/A	N/A	N/A	6334.9	7796.8	N/A	N/A	N/A	N/A	550	N/A
2/15/2024	CDM	869	21100001	HC RB CCU IVU		IP			    	211	6220	4043	44.8	7325	550	N/A	6949	N/A	7325	N/A	6289	N/A	0	N/A	N/A	0	N/A	3110	N/A	N/A	N/A	2668.38	3078.9	2440.88	N/A	2440.88	2985.6	1632	2046.38	4665	3234.4	N/A	N/A	N/A	4043	4976	N/A	N/A	N/A	N/A	550	N/A
2/15/2024	CDM	870	21400000	HC RB CCU INTERMEDIATE		IP			    	214	6220	4043	44.8	7325	550	N/A	6949	N/A	7325	N/A	6289	N/A	0	N/A	N/A	0	N/A	3110	N/A	N/A	N/A	2668.38	3078.9	2440.88	N/A	2440.88	2985.6	1632	2046.38	4665	3234.4	N/A	N/A	N/A	4043	4976	N/A	N/A	N/A	N/A	550	N/A
2/15/2024	CDM	871	23099460	HC NURSERY ASSESSMENT		IP		99460	    	230	1818	1181.7	181.8	1818	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	909	N/A	N/A	N/A	779.92	899.91	N/A	N/A	N/A	872.64	N/A	N/A	1363.5	945.36	N/A	N/A	N/A	N/A	1454.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	872	23099460	HC NURSERY ASSESSMENT		OP		99460	    	230	1818	1181.7	70.28	1818	75.9	1818	1405.31	118.04	1494.4	121.57	1494.4	1818	356.57	1818	118.04	356.57	118.04	909	1818	121.57	1818	765.38	836.28	1272.6	122.36	1272.6	872.64	71.69	344.11	1363.5	945.36	115.09	436.32	436.32	1145.34	1454.4	118.04	114.94	759.92	1818	70.28	119.96
2/15/2024	CDM	873	25500011	HC RAD ONC LOCM 300399MG PER ML		IP		Q9967	    	255	7	4.55	0.7	7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	3.5	N/A	N/A	N/A	3	3.46	N/A	N/A	N/A	3.36	N/A	N/A	5.25	3.64	N/A	N/A	N/A	N/A	5.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	874	25500011	HC RAD ONC LOCM 300399MG PER ML		OP		Q9967	    	255	7	4.55	0.7	7	N/A	7	0	N/A	0	N/A	0	7	N/A	7	N/A	N/A	N/A	3.5	7	N/A	7	0	3.22	4.9	N/A	4.9	3.36	N/A	2.62	5.25	3.64	N/A	1.68	1.68	4.41	5.6	N/A	7	0	7	N/A	N/A
2/15/2024	CDM	875	25599998	HC CONTRAST NO HCPCS ESTIMATE		IP			    	255	5	3.25	0.5	5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	2.5	N/A	N/A	N/A	2.15	2.48	N/A	N/A	N/A	2.4	N/A	N/A	3.75	2.6	N/A	N/A	N/A	N/A	4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	876	25599998	HC CONTRAST NO HCPCS ESTIMATE		OP			    	255	5	3.25	0.5	5	N/A	5	0	N/A	0	N/A	4.11	5	N/A	5	N/A	N/A	N/A	2.5	5	N/A	5	2.11	2.3	3.5	N/A	3.5	2.4	N/A	1.76	3.75	2.6	N/A	1.2	1.2	3.15	4	N/A	5	0	5	N/A	N/A
2/15/2024	CDM	877	25599999	HC CONTRAST HCPCS ESTIMATE		IP			    	255	31	20.15	3.1	31	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	15.5	N/A	N/A	N/A	13.3	15.35	N/A	N/A	N/A	14.88	N/A	N/A	23.25	16.12	N/A	N/A	N/A	N/A	24.8	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	878	25599999	HC CONTRAST HCPCS ESTIMATE		OP			    	255	31	20.15	3.1	31	N/A	31	0	N/A	0	N/A	25.48	31	N/A	31	N/A	N/A	N/A	15.5	31	N/A	31	13.05	14.26	21.7	N/A	21.7	14.88	N/A	10.88	23.25	16.12	N/A	7.44	7.44	19.53	24.8	N/A	31	0	31	N/A	N/A
2/15/2024	CDM	879	26008957	HC NONCHEMO INITIATE INFUSION 8HRS		IP		C8957	    	260	2788	1812.2	278.8	2788	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	1394	N/A	N/A	N/A	1196.05	1380.06	N/A	N/A	N/A	1338.24	N/A	N/A	2091	1449.76	N/A	N/A	N/A	N/A	2230.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	880	26008957	HC NONCHEMO INITIATE INFUSION 8HRS		OP		C8957	    	260	2788	1812.2	180.06	2788	194.46	2788	2155.12	302.41	2291.74	311.45	2291.74	2788	913.5	2788	302.41	913.5	302.41	1394	2788	311.45	2788	1173.75	1282.48	1951.6	313.48	1951.6	1338.24	183.66	947	2091	1449.76	294.85	669.12	669.12	1756.44	2230.4	302.41	294.48	1165.38	2788	180.06	307.33
2/15/2024	CDM	881	26010243	HC INTRAVENOUS INFUSION CASIRIVIMABIMDEVIMAB		IP		M0243	    	260	1527	992.55	152.7	1527	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	763.5	N/A	N/A	N/A	655.08	755.87	N/A	N/A	N/A	732.96	N/A	N/A	1145.25	794.04	N/A	N/A	N/A	N/A	1221.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	882	26010243	HC INTRAVENOUS INFUSION CASIRIVIMABIMDEVIMAB		OP		M0243	    	260	1527	992.55	152.7	1527	N/A	1527	1180.37	420.51	1255.19	433.12	1255.19	1527	1000.11	1527	420.51	1000.11	420.51	763.5	1527	433.12	1527	642.87	702.42	1068.9	437.65	1068.9	732.96	N/A	729.81	1145.25	794.04	410	366.48	366.48	962.01	1221.6	420.51	411.13	638.29	1527	N/A	429.07
2/15/2024	CDM	883	26010245	HC IV INFUSION ETESEVIMABBAMIANIVIMAB		IP		M0245	    	260	1527	992.55	152.7	1527	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	763.5	N/A	N/A	N/A	655.08	755.87	N/A	N/A	N/A	732.96	N/A	N/A	1145.25	794.04	N/A	N/A	N/A	N/A	1221.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	884	26010245	HC IV INFUSION ETESEVIMABBAMIANIVIMAB		OP		M0245	    	260	1527	992.55	152.7	1527	N/A	1527	1180.37	420.51	1255.19	433.12	1255.19	1527	1000.11	1527	420.51	1000.11	420.51	763.5	1527	433.12	1527	642.87	702.42	1068.9	437.65	1068.9	732.96	N/A	729.81	1145.25	794.04	410	366.48	366.48	962.01	1221.6	420.51	411.13	638.29	1527	N/A	429.07
2/15/2024	CDM	885	26010247	HC IV INFUSION SOTROVIMAB		IP		M0247	    	260	1527	992.55	152.7	1527	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	763.5	N/A	N/A	N/A	655.08	755.87	N/A	N/A	N/A	732.96	N/A	N/A	1145.25	794.04	N/A	N/A	N/A	N/A	1221.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	886	26010247	HC IV INFUSION SOTROVIMAB		OP		M0247	    	260	1527	992.55	152.7	1527	N/A	1527	1180.37	420.51	1255.19	433.12	1255.19	1527	1000.11	1527	420.51	1000.11	420.51	763.5	1527	433.12	1527	642.87	702.42	1068.9	437.65	1068.9	732.96	N/A	729.81	1145.25	794.04	410	366.48	366.48	962.01	1221.6	420.51	411.13	638.29	1527	N/A	429.07
2/15/2024	CDM	887	26096360	HC IV INF HYDRATE 1ST HR		IP		96360	    	260	1087	706.55	108.7	1087	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	543.5	N/A	N/A	N/A	466.32	538.06	N/A	N/A	N/A	521.76	N/A	N/A	815.25	565.24	N/A	N/A	N/A	N/A	869.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	888	26096360	HC IV INF HYDRATE 1ST HR		OP		96360	    	260	1087	706.55	108.7	1087	123.07	1087	840.25	191.39	893.51	197.11	893.51	1087	578.15	1087	191.39	578.15	191.39	543.5	1087	197.11	1087	457.63	500.02	760.9	198.39	760.9	521.76	116.23	588.12	815.25	565.24	186.61	260.88	260.88	684.81	869.6	191.39	186.37	454.37	1087	113.95	194.5
2/15/2024	CDM	889	26096361	HC IV INF HYDRATE ADD HR		IP		96361	    	260	303	196.95	30.3	303	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	151.5	N/A	N/A	N/A	129.99	149.98	N/A	N/A	N/A	145.44	N/A	N/A	227.25	157.56	N/A	N/A	N/A	N/A	242.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	890	26096361	HC IV INF HYDRATE ADD HR		OP		96361	    	260	303	196.95	25.26	303	27.28	303	234.22	42.42	249.07	43.68	249.07	303	128.12	303	42.42	128.12	42.42	151.5	303	43.68	303	127.56	139.38	212.1	43.97	212.1	145.44	25.77	120.64	227.25	157.56	41.36	72.72	72.72	190.89	242.4	42.42	41.31	126.65	303	25.26	43.11
2/15/2024	CDM	891	26096365	HC IV INF TXPRODX 1ST HR		IP		96365	    	260	1765	1147.25	176.5	1765	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	882.5	N/A	N/A	N/A	757.18	873.67	N/A	N/A	N/A	847.2	N/A	N/A	1323.75	917.8	N/A	N/A	N/A	N/A	1412	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	892	26096365	HC IV INF TXPRODX 1ST HR		OP		96365	    	260	1765	1147.25	113.95	1765	123.07	1765	1364.35	191.39	1450.83	197.11	1450.83	1765	578.15	1765	191.39	578.15	191.39	882.5	1765	197.11	1765	743.07	811.9	1235.5	198.39	1235.5	847.2	116.23	588.12	1323.75	917.8	186.61	423.6	423.6	1111.95	1412	191.39	186.37	737.77	1765	113.95	194.5
2/15/2024	CDM	893	26096366	HC IV INF TXPRODX ADD HR		IP		96366	    	260	303	196.95	30.3	303	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	151.5	N/A	N/A	N/A	129.99	149.98	N/A	N/A	N/A	145.44	N/A	N/A	227.25	157.56	N/A	N/A	N/A	N/A	242.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	894	26096366	HC IV INF TXPRODX ADD HR		OP		96366	    	260	303	196.95	25.26	303	27.28	303	234.22	42.42	249.07	43.68	249.07	303	128.12	303	42.42	128.12	42.42	151.5	303	43.68	303	127.56	139.38	212.1	43.97	212.1	145.44	25.77	120.64	227.25	157.56	41.36	72.72	72.72	190.89	242.4	42.42	41.31	126.65	303	25.26	43.11
2/15/2024	CDM	895	26096367	HC TXPRODG ADDL SEQ IV INF		IP		96367	    	260	448	291.2	44.8	448	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	224	N/A	N/A	N/A	192.19	221.76	N/A	N/A	N/A	215.04	N/A	N/A	336	232.96	N/A	N/A	N/A	N/A	358.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	896	26096367	HC TXPRODG ADDL SEQ IV INF		OP		96367	    	260	448	291.2	37.45	448	40.45	448	346.3	62.91	368.26	64.79	368.26	448	190.01	448	62.91	190.01	62.91	224	448	64.79	448	188.61	206.08	313.6	65.21	313.6	215.04	38.2	192.09	336	232.96	61.34	107.52	107.52	282.24	358.4	62.91	61.26	187.26	448	37.45	63.93
2/15/2024	CDM	897	26096368	HC THERDIAG CONCURRENT INF		IP		96368	    	260	362	235.3	36.2	362	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	181	N/A	N/A	N/A	155.3	179.19	N/A	N/A	N/A	173.76	N/A	N/A	271.5	188.24	N/A	N/A	N/A	N/A	289.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	898	26096368	HC THERDIAG CONCURRENT INF		OP		96368	    	260	362	235.3	36.2	362	N/A	362	279.83	N/A	297.56	N/A	297.56	362	N/A	362	N/A	N/A	N/A	181	362	N/A	362	152.4	166.52	253.4	N/A	253.4	173.76	N/A	138.28	271.5	188.24	N/A	86.88	86.88	228.06	289.6	N/A	362	151.32	362	N/A	N/A
2/15/2024	CDM	899	26096416	HC CHEMO INITIATE INFUSION 8 HRS WPUMP		IP		96416	    	335	2683	1743.95	268.3	2683	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	1341.5	N/A	N/A	N/A	1151.01	1328.09	N/A	N/A	N/A	1287.84	N/A	N/A	2012.25	1395.16	N/A	N/A	N/A	N/A	2146.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	900	26096416	HC CHEMO INITIATE INFUSION 8 HRS WPUMP		OP		96416	    	335	2683	1743.95	180.06	2683	194.46	2683	2073.96	302.41	2205.43	311.45	2205.43	2683	913.5	2683	302.41	913.5	302.41	1341.5	2683	311.45	2683	1129.54	1234.18	1878.1	313.48	1878.1	1287.84	183.66	947	2012.25	1395.16	294.85	643.92	643.92	1690.29	2146.4	302.41	294.48	1121.49	2683	180.06	307.33
2/15/2024	CDM	901	27000002	HC ARTIC SUN KIT		IP			    	270	5058	3287.7	505.8	5058	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	2529	N/A	N/A	N/A	2169.88	2503.71	N/A	N/A	N/A	2427.84	N/A	N/A	3793.5	2630.16	N/A	N/A	N/A	N/A	4046.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	902	27000002	HC ARTIC SUN KIT		OP			    	270	5058	3287.7	505.8	5058	N/A	5058	3909.83	N/A	4157.68	N/A	4157.68	5058	N/A	5058	N/A	N/A	N/A	2529	5058	N/A	5058	2129.42	2326.68	3540.6	N/A	3540.6	2427.84	N/A	1775.36	3793.5	2630.16	N/A	1213.92	1213.92	3186.54	4046.4	N/A	5058	2114.24	5058	N/A	N/A
2/15/2024	CDM	903	27000003	HC ARTIC SUN UNIVERSAL PAD		IP			    	270	1517	986.05	151.7	1517	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	758.5	N/A	N/A	N/A	650.79	750.91	N/A	N/A	N/A	728.16	N/A	N/A	1137.75	788.84	N/A	N/A	N/A	N/A	1213.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	904	27000003	HC ARTIC SUN UNIVERSAL PAD		OP			    	270	1517	986.05	151.7	1517	N/A	1517	1172.64	N/A	1246.97	N/A	1246.97	1517	N/A	1517	N/A	N/A	N/A	758.5	1517	N/A	1517	638.66	697.82	1061.9	N/A	1061.9	728.16	N/A	532.47	1137.75	788.84	N/A	364.08	364.08	955.71	1213.6	N/A	1517	634.11	1517	N/A	N/A
2/15/2024	CDM	905	27000004	HC OXYGEN ADMINISTRATION		IP			    	270	621	403.65	62.1	621	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	310.5	N/A	N/A	N/A	266.41	307.39	N/A	N/A	N/A	298.08	N/A	N/A	465.75	322.92	N/A	N/A	N/A	N/A	496.8	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	906	27000004	HC OXYGEN ADMINISTRATION		OP			    	270	621	403.65	62.1	621	N/A	621	480.03	N/A	510.46	N/A	510.46	621	N/A	621	N/A	N/A	N/A	310.5	621	N/A	621	261.44	285.66	434.7	N/A	434.7	298.08	N/A	217.97	465.75	322.92	N/A	149.04	149.04	391.23	496.8	N/A	621	259.58	621	N/A	N/A
2/15/2024	CDM	907	27000005	HC VEST PERCUSSIVE SUPPLY CHARGE		IP			    	270	511	332.15	51.1	511	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	255.5	N/A	N/A	N/A	219.22	252.94	N/A	N/A	N/A	245.28	N/A	N/A	383.25	265.72	N/A	N/A	N/A	N/A	408.8	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	908	27000005	HC VEST PERCUSSIVE SUPPLY CHARGE		OP			    	270	511	332.15	51.1	511	N/A	511	395	N/A	420.04	N/A	420.04	511	N/A	511	N/A	N/A	N/A	255.5	511	N/A	511	215.13	235.06	357.7	N/A	357.7	245.28	N/A	179.36	383.25	265.72	N/A	122.64	122.64	321.93	408.8	N/A	511	213.6	511	N/A	N/A
2/15/2024	CDM	909	27000008	HC DONOR HUMAN MILK PER 3 OZ BTL		IP			    	270	64	41.6	6.4	64	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	32	N/A	N/A	N/A	27.46	31.68	N/A	N/A	N/A	30.72	N/A	N/A	48	33.28	N/A	N/A	N/A	N/A	51.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	910	27000008	HC DONOR HUMAN MILK PER 3 OZ BTL		OP			    	270	64	41.6	6.4	64	N/A	64	49.47	N/A	52.61	N/A	52.61	64	N/A	64	N/A	N/A	N/A	32	64	N/A	64	26.94	29.44	44.8	N/A	44.8	30.72	N/A	22.46	48	33.28	N/A	15.36	15.36	40.32	51.2	N/A	64	26.75	64	N/A	N/A
2/15/2024	CDM	911	27000009	HC DONOR HUMAN MILK PER OUNCE		IP			    	270	22	14.3	2.2	22	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	11	N/A	N/A	N/A	9.44	10.89	N/A	N/A	N/A	10.56	N/A	N/A	16.5	11.44	N/A	N/A	N/A	N/A	17.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	912	27000009	HC DONOR HUMAN MILK PER OUNCE		OP			    	270	22	14.3	2.2	22	N/A	22	17.01	N/A	18.08	N/A	18.08	22	N/A	22	N/A	N/A	N/A	11	22	N/A	22	9.26	10.12	15.4	N/A	15.4	10.56	N/A	7.72	16.5	11.44	N/A	5.28	5.28	13.86	17.6	N/A	22	9.2	22	N/A	N/A
2/15/2024	CDM	913	27000011	HC VAGINAL DILATOR		IP			    	270	67	43.55	6.7	67	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	33.5	N/A	N/A	N/A	28.74	33.16	N/A	N/A	N/A	32.16	N/A	N/A	50.25	34.84	N/A	N/A	N/A	N/A	53.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	914	27000011	HC VAGINAL DILATOR		OP			    	270	67	43.55	6.7	67	N/A	67	51.79	N/A	55.07	N/A	55.07	67	N/A	67	N/A	N/A	N/A	33.5	67	N/A	67	28.21	30.82	46.9	N/A	46.9	32.16	N/A	23.52	50.25	34.84	N/A	16.08	16.08	42.21	53.6	N/A	67	28.01	67	N/A	N/A
2/15/2024	CDM	915	27000014	HC BATTERIES PER PACK NOT MEDICAID		IP		V5266	    	270	8	5.2	0.8	8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	4	N/A	N/A	N/A	3.43	3.96	N/A	N/A	N/A	3.84	N/A	N/A	6	4.16	N/A	N/A	N/A	N/A	6.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	916	27000014	HC BATTERIES PER PACK NOT MEDICAID		OP		V5266	    	270	8	5.2	0.8	8	N/A	8	6.18	1.92	6.58	N/A	6.58	8	N/A	8	N/A	N/A	N/A	4	8	N/A	8	3.37	3.68	5.6	N/A	5.6	3.84	N/A	2.81	6	4.16	N/A	1.92	1.92	5.04	6.4	N/A	3.35	3.34	8	N/A	N/A
2/15/2024	CDM	917	27000030	HC BREAST MILK		IP			    	270	23	14.95	2.3	23	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	11.5	N/A	N/A	N/A	9.87	11.38	N/A	N/A	N/A	11.04	N/A	N/A	17.25	11.96	N/A	N/A	N/A	N/A	18.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	918	27000030	HC BREAST MILK		OP			    	270	23	14.95	2.3	23	N/A	23	17.78	N/A	18.91	N/A	18.91	23	N/A	23	N/A	N/A	N/A	11.5	23	N/A	23	9.68	10.58	16.1	N/A	16.1	11.04	N/A	8.07	17.25	11.96	N/A	5.52	5.52	14.49	18.4	N/A	23	9.61	23	N/A	N/A
2/15/2024	CDM	919	27000031	HC BREAST MILK		IP			    	270	15	9.75	1.5	15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	7.5	N/A	N/A	N/A	6.43	7.42	N/A	N/A	N/A	7.2	N/A	N/A	11.25	7.8	N/A	N/A	N/A	N/A	12	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	920	27000031	HC BREAST MILK		OP			    	270	15	9.75	1.5	15	N/A	15	11.6	N/A	12.33	N/A	12.33	15	N/A	15	N/A	N/A	N/A	7.5	15	N/A	15	6.32	6.9	10.5	N/A	10.5	7.2	N/A	5.27	11.25	7.8	N/A	3.6	3.6	9.45	12	N/A	15	6.27	15	N/A	N/A
2/15/2024	CDM	921	27000032	HC BREAST MILK		IP			    	270	67	43.55	6.7	67	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	33.5	N/A	N/A	N/A	28.74	33.16	N/A	N/A	N/A	32.16	N/A	N/A	50.25	34.84	N/A	N/A	N/A	N/A	53.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	922	27000032	HC BREAST MILK		OP			    	270	67	43.55	6.7	67	N/A	67	51.79	N/A	55.07	N/A	55.07	67	N/A	67	N/A	N/A	N/A	33.5	67	N/A	67	28.21	30.82	46.9	N/A	46.9	32.16	N/A	23.52	50.25	34.84	N/A	16.08	16.08	42.21	53.6	N/A	67	28.01	67	N/A	N/A
2/15/2024	CDM	923	27000033	HC BREAST MILK		IP			    	270	191	124.15	19.1	191	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	95.5	N/A	N/A	N/A	81.94	94.55	N/A	N/A	N/A	91.68	N/A	N/A	143.25	99.32	N/A	N/A	N/A	N/A	152.8	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	924	27000033	HC BREAST MILK		OP			    	270	191	124.15	19.1	191	N/A	191	147.64	N/A	157	N/A	157	191	N/A	191	N/A	N/A	N/A	95.5	191	N/A	191	80.41	87.86	133.7	N/A	133.7	91.68	N/A	67.04	143.25	99.32	N/A	45.84	45.84	120.33	152.8	N/A	191	79.84	191	N/A	N/A
2/15/2024	CDM	925	27000034	HC BREAST MILK		IP			    	270	1228	798.2	122.8	1228	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	614	N/A	N/A	N/A	526.81	607.86	N/A	N/A	N/A	589.44	N/A	N/A	921	638.56	N/A	N/A	N/A	N/A	982.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	926	27000034	HC BREAST MILK		OP			    	270	1228	798.2	122.8	1228	N/A	1228	949.24	N/A	1009.42	N/A	1009.42	1228	N/A	1228	N/A	N/A	N/A	614	1228	N/A	1228	516.99	564.88	859.6	N/A	859.6	589.44	N/A	431.03	921	638.56	N/A	294.72	294.72	773.64	982.4	N/A	1228	513.3	1228	N/A	N/A
2/15/2024	CDM	927	27000035	HC BREAST MILK		IP			    	270	435	282.75	43.5	435	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	217.5	N/A	N/A	N/A	186.62	215.32	N/A	N/A	N/A	208.8	N/A	N/A	326.25	226.2	N/A	N/A	N/A	N/A	348	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	928	27000035	HC BREAST MILK		OP			    	270	435	282.75	43.5	435	N/A	435	336.25	N/A	357.57	N/A	357.57	435	N/A	435	N/A	N/A	N/A	217.5	435	N/A	435	183.14	200.1	304.5	N/A	304.5	208.8	N/A	152.69	326.25	226.2	N/A	104.4	104.4	274.05	348	N/A	435	181.83	435	N/A	N/A
2/15/2024	CDM	929	27000036	HC BREAST MILK		IP			    	270	94	61.1	9.4	94	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	47	N/A	N/A	N/A	40.33	46.53	N/A	N/A	N/A	45.12	N/A	N/A	70.5	48.88	N/A	N/A	N/A	N/A	75.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	930	27000036	HC BREAST MILK		OP			    	270	94	61.1	9.4	94	N/A	94	72.66	N/A	77.27	N/A	77.27	94	N/A	94	N/A	N/A	N/A	47	94	N/A	94	39.57	43.24	65.8	N/A	65.8	45.12	N/A	32.99	70.5	48.88	N/A	22.56	22.56	59.22	75.2	N/A	94	39.29	94	N/A	N/A
2/15/2024	CDM	931	27000037	HC BREAST MILK		IP			    	270	119	77.35	11.9	119	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	59.5	N/A	N/A	N/A	51.05	58.91	N/A	N/A	N/A	57.12	N/A	N/A	89.25	61.88	N/A	N/A	N/A	N/A	95.2	N/A	N/A	N/A	N/A	N/A	N/A
