	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																						
2/15/2024	CDM	1303	30087149	HC CULTURE TYPING NUCLEIC ACID		OP		87149	    	300	241	156.65	11.19	241	12.09	241	33.52	19.65	35.61	20.24	33.52	241	21.05	241	19.65	21.05	241	20.24	241	138.48	107.97	46.11	168.7	20.04	115.68	11.41	96.4	180.75	125.32	19.16	74.71	17.58	41.04	241	20.05
2/15/2024	CDM	1304	30087153	HC CULTURE TYPING ID NUC ACID SEQ METH EA		IP		87153	    	300	240	156	24	240	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	128.88	107.52	151.2	N/A	N/A	115.2	N/A	N/A	180	124.8	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1305	30087153	HC CULTURE TYPING ID NUC ACID SEQ METH EA		OP		87153	    	300	240	156	24	380.69	69.52	240	192.89	113.05	204.88	116.44	192.89	240	121.13	240	113.05	121.13	240	116.44	240	240	107.52	240	168	115.31	115.2	65.66	96	180	124.8	110.22	74.4	101.19	236.07	240	115.36
2/15/2024	CDM	1306	30087168	HC ARTHROPOD IDENT		IP		87168	    	300	102	66.3	10.2	102	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	54.77	45.7	64.26	N/A	N/A	48.96	N/A	N/A	76.5	53.04	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1307	30087168	HC ARTHROPOD IDENT		OP		87168	    	300	102	66.3	2.38	102	2.57	102	7.15	4.18	7.59	4.31	7.15	102	4.48	102	4.18	4.48	102	4.31	102	29.54	45.7	9.82	71.4	4.26	48.96	2.43	40.8	76.5	53.04	4.08	31.62	3.74	8.73	102	4.27
2/15/2024	CDM	1308	30087172	HC PINWORM EXAM		IP		87172	    	300	16	10.4	1.6	16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	8.59	7.17	10.08	N/A	N/A	7.68	N/A	N/A	12	8.32	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1309	30087172	HC PINWORM EXAM		OP		87172	    	300	16	10.4	1.6	16	2.57	16	7.15	4.18	7.59	4.31	7.15	16	4.48	16	4.18	4.48	16	4.31	16	16	7.17	9.82	11.2	4.26	7.68	2.43	6.4	12	8.32	4.08	4.96	3.74	8.73	16	4.27
2/15/2024	CDM	1310	30087176	HC TISSUE GRINDING		IP		87176	    	300	65	42.25	6.5	65	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	34.91	29.12	40.95	N/A	N/A	31.2	N/A	N/A	48.75	33.8	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1311	30087176	HC TISSUE GRINDING		OP		87176	    	300	65	42.25	4.41	65	N/A	65	9.82	5.76	10.43	5.94	9.82	65	6.17	65	5.76	6.17	65	5.94	65	40.59	29.12	13.52	45.5	5.88	31.2	N/A	26	48.75	33.8	5.62	20.15	5.16	12.05	65	5.88
2/15/2024	CDM	1312	30087181	HC SUSCEPTIBILITY STUDIES AGAR		IP		87181	    	300	65	42.25	6.5	65	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	34.91	29.12	40.95	N/A	N/A	31.2	N/A	N/A	48.75	33.8	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1313	30087181	HC SUSCEPTIBILITY STUDIES AGAR		OP		87181	    	300	65	42.25	2.65	65	2.86	65	7.94	4.65	8.44	4.79	7.94	65	4.99	65	4.65	4.99	65	4.79	65	32.83	29.12	10.92	45.5	4.74	31.2	2.7	26	48.75	33.8	4.53	20.15	4.17	9.72	65	4.75
2/15/2024	CDM	1314	30087185	HC BETA LACTAMASE		IP		87185	    	300	52	33.8	5.2	52	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	27.92	23.3	32.76	N/A	N/A	24.96	N/A	N/A	39	27.04	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1315	30087185	HC BETA LACTAMASE		OP		87185	    	300	52	33.8	2.65	52	2.86	52	7.94	4.65	8.44	4.79	7.94	52	4.99	52	4.65	4.99	52	4.79	52	32.83	23.3	10.92	36.4	4.74	24.96	2.7	20.8	39	27.04	4.53	16.12	4.17	9.72	52	4.75
2/15/2024	CDM	1316	30087220	HC KOHCALCOFLUOR PREP		IP		87220	    	300	106	68.9	10.6	106	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	56.92	47.49	66.78	N/A	N/A	50.88	N/A	N/A	79.5	55.12	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1317	30087220	HC KOHCALCOFLUOR PREP		OP		87220	    	300	106	68.9	2.38	106	2.57	106	7.15	4.18	7.59	4.31	7.15	106	4.48	106	4.18	4.48	106	4.31	106	29.54	47.49	9.82	74.2	4.26	50.88	2.43	42.4	79.5	55.12	4.08	32.86	3.74	8.73	106	4.27
2/15/2024	CDM	1318	30087253	HC VIRUS ID		IP		87253	    	300	74	48.1	7.4	74	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	39.74	33.15	46.62	N/A	N/A	35.52	N/A	N/A	55.5	38.48	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1319	30087253	HC VIRUS ID		OP		87253	    	300	74	48.1	7.4	74	12.17	74	33.77	19.8	35.88	20.39	33.77	74	21.21	74	19.8	21.21	74	20.39	74	74	33.15	46.46	51.8	20.2	35.52	11.5	29.6	55.5	38.48	19.3	22.94	17.72	41.34	74	20.2
2/15/2024	CDM	1320	30087254	HC SHELL VIAL  STAINING		IP		87254	    	300	49	31.85	4.9	49	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	26.31	21.95	30.87	N/A	N/A	23.52	N/A	N/A	36.75	25.48	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1321	30087254	HC SHELL VIAL  STAINING		OP		87254	    	300	49	31.85	4.9	64.55	11.78	49	32.71	19.17	34.74	19.75	32.71	49	20.54	49	19.17	20.54	49	19.75	49	49	21.95	44.99	34.3	19.55	23.52	11.13	19.6	36.75	25.48	18.69	15.19	17.16	40.02	49	19.56
2/15/2024	CDM	1322	30087301	HC INFECT AGENT AG DET QUAL OR SEMIQNT ADENOVIR		IP		87301	    	300	230	149.5	23	230	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	123.51	103.04	144.9	N/A	N/A	110.4	N/A	N/A	172.5	119.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1323	30087301	HC INFECT AGENT AG DET QUAL OR SEMIQNT ADENOVIR		OP		87301	    	300	230	149.5	6.68	230	7.21	230	20.02	11.74	21.27	12.09	20.02	230	12.58	230	11.74	12.58	230	12.09	230	82.8	103.04	27.55	161	11.97	110.4	6.81	92	172.5	119.6	11.45	71.3	10.51	24.54	230	11.98
2/15/2024	CDM	1324	30087329	HC GIARDIA SPECIFIC AG		IP		87329	    	300	140	91	14	140	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	75.18	62.72	88.2	N/A	N/A	67.2	N/A	N/A	105	72.8	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1325	30087329	HC GIARDIA SPECIFIC AG		OP		87329	    	300	140	91	6.68	140	7.21	140	20.02	11.74	21.27	12.09	20.02	140	12.58	140	11.74	12.58	140	12.09	140	82.8	62.72	27.55	98	11.97	67.2	6.81	56	105	72.8	11.45	43.4	10.51	24.54	140	11.98
2/15/2024	CDM	1326	30087337	HC ENTAMOEBA HISTOLYTICA ANTIGEN		IP		87337	    	300	37	24.05	3.7	37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	19.87	16.58	23.31	N/A	N/A	17.76	N/A	N/A	27.75	19.24	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1327	30087337	HC ENTAMOEBA HISTOLYTICA ANTIGEN		OP		87337	    	300	37	24.05	3.7	39.53	7.21	37	20.02	11.74	21.27	12.09	20.02	37	12.58	37	11.74	12.58	37	12.09	37	37	16.58	27.55	25.9	11.97	17.76	6.81	14.8	27.75	19.24	11.45	11.47	10.51	24.54	37	11.98
2/15/2024	CDM	1328	30087426	HC COVID19 ANTIGEN IMMUNOASSAYQW		IP		87426	    	300	104	67.6	10.4	104	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	55.85	46.59	65.52	N/A	N/A	49.92	N/A	N/A	78	54.08	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1329	30087426	HC COVID19 ANTIGEN IMMUNOASSAYQW		OP		87426	    	300	104	67.6	10.4	116.59	21.29	104	94.53	34.62	100.41	35.66	94.53	104	37.1	104	34.62	37.1	104	35.66	104	58.76	46.59	52	72.8	35.31	49.92	20.1	66.16	78	54.08	33.75	32.24	89.48	68.06	104	35.33
2/15/2024	CDM	1330	30087529	HC HERP SIMPLEX DNA AMP		IP		87529	    	300	95	61.75	9.5	95	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	51.02	42.56	59.85	N/A	N/A	45.6	N/A	N/A	71.25	49.4	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1331	30087529	HC HERP SIMPLEX DNA AMP		OP		87529	    	300	95	61.75	9.5	115.8	21.15	95	58.67	34.39	62.32	35.42	58.67	95	36.84	95	34.39	36.84	95	35.42	95	95	42.56	80.71	66.5	35.08	45.6	19.97	38	71.25	49.4	33.53	29.45	30.78	71.81	95	35.09
2/15/2024	CDM	1332	30087533	HC HERPES VIRUS6 QUANT		IP		87533	    	300	348	226.2	34.8	348	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	186.88	155.9	219.24	N/A	N/A	167.04	N/A	N/A	261	180.96	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1333	30087533	HC HERPES VIRUS6 QUANT		OP		87533	    	300	348	226.2	23.3	348	25.16	348	69.83	40.92	74.17	42.15	69.83	348	43.85	348	40.92	43.85	348	42.15	348	288.44	155.9	96.05	243.6	41.74	167.04	23.77	139.2	261	180.96	39.9	107.88	36.63	85.44	348	41.76
2/15/2024	CDM	1334	30087535	HC HIV PROVIRAL DNA		IP		87535	    	300	430	279.5	43	430	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	230.91	192.64	270.9	N/A	N/A	206.4	N/A	N/A	322.5	223.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1335	30087535	HC HIV PROVIRAL DNA		OP		87535	    	300	430	279.5	19.58	430	21.15	430	58.67	34.39	62.32	35.42	58.67	430	36.84	430	34.39	36.84	430	35.42	430	242.41	192.64	80.71	301	35.08	206.4	19.97	172	322.5	223.6	33.53	133.3	30.78	71.81	430	35.09
2/15/2024	CDM	1336	30087563	HC INF AGENT DETECT M GENITALIUM AMPLIFIED PROB		IP		87563	    	300	227	147.55	22.7	227	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	121.9	101.7	143.01	N/A	N/A	108.96	N/A	N/A	170.25	118.04	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1337	30087563	HC INF AGENT DETECT M GENITALIUM AMPLIFIED PROB		OP		87563	    	300	227	147.55	19.58	227	21.15	227	58.67	34.39	62.32	35.42	58.67	227	36.84	227	34.39	36.84	227	35.42	227	227	101.7	80.71	158.9	35.08	108.96	19.97	90.8	170.25	118.04	33.53	70.37	30.78	52.64	227	35.09
2/15/2024	CDM	1338	30087624	HC HPV HIGH RISK		IP		87624	    	300	157	102.05	15.7	157	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	84.31	70.34	98.91	N/A	N/A	75.36	N/A	N/A	117.75	81.64	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1339	30087624	HC HPV HIGH RISK		OP		87624	    	300	157	102.05	15.7	157	21.15	157	58.67	34.39	62.32	35.42	58.67	157	36.84	157	34.39	36.84	157	35.42	157	157	70.34	80.71	109.9	35.08	75.36	19.97	62.8	117.75	81.64	33.53	48.67	30.78	71.64	157	35.09
2/15/2024	CDM	1340	30088184	HC CELL MARKER FIRST		IP		88184	    	300	375	243.75	37.5	375	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	201.38	168	236.25	N/A	N/A	180	N/A	N/A	281.25	195	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1341	30088184	HC CELL MARKER FIRST		OP		88184	    	300	375	243.75	37.5	1167.46	206.39	375	106.74	306.73	113.38	315.9	106.74	375	1147.53	375	306.73	1147.53	375	315.9	375	375	168	187.5	262.5	312.86	180	194.92	1167.46	281.25	195	299.06	116.25	296.29	54.8	375	311.72
2/15/2024	CDM	1342	30088185	HC CELL MARKER EA ADDL		IP		88185	    	300	169	109.85	16.9	169	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	90.75	75.71	106.47	N/A	N/A	81.12	N/A	N/A	126.75	87.88	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1343	30088185	HC CELL MARKER EA ADDL		OP		88185	    	300	169	109.85	16.9	169	N/A	169	35.15	N/A	37.34	N/A	35.15	169	N/A	169	N/A	N/A	169	N/A	169	153.02	75.71	84.5	118.3	N/A	81.12	N/A	69.12	126.75	87.88	N/A	52.39	169	80.6	169	N/A
2/15/2024	CDM	1344	30088230	HC MOLEC CULTURE LYMPHO		IP		88230	    	300	253	164.45	25.3	253	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	135.86	113.34	159.39	N/A	N/A	121.44	N/A	N/A	189.75	131.56	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1345	30088230	HC MOLEC CULTURE LYMPHO		OP		88230	    	300	253	164.45	25.3	384.42	70.2	253	194.77	114.16	206.88	117.58	194.77	253	122.31	253	114.16	122.31	253	117.58	253	253	113.34	253	177.1	116.44	121.44	66.3	101.2	189.75	131.56	111.31	78.43	102.19	238.41	253	116.49
2/15/2024	CDM	1346	30088233	HC CULTURE TISSUE BXSKIN		IP		88233	    	311	274	178.1	27.4	274	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	147.14	122.75	172.62	N/A	N/A	131.52	N/A	N/A	205.5	142.48	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1347	30088233	HC CULTURE TISSUE BXSKIN		OP		88233	    	311	274	178.1	27.4	464.41	84.81	274	235.29	137.92	249.93	142.05	235.29	274	147.77	274	137.92	147.77	274	142.05	274	274	122.75	274	191.8	140.68	131.52	80.1	109.6	205.5	142.48	134.47	84.94	123.45	287.99	274	140.73
2/15/2024	CDM	1348	30088237	HC CULT TISSUE BONE MARROW		IP		88237	    	311	351	228.15	35.1	351	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	188.49	157.25	221.13	N/A	N/A	168.48	N/A	N/A	263.25	182.52	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1349	30088237	HC CULT TISSUE BONE MARROW		OP		88237	    	311	351	228.15	35.1	474.38	86.63	351	240.35	140.87	255.3	145.1	240.35	351	150.94	351	140.87	150.94	351	145.1	351	351	157.25	330.62	245.7	143.69	168.48	81.81	140.4	263.25	182.52	137.35	108.81	126.1	258.48	351	143.75
2/15/2024	CDM	1350	30088240	HC CRYOPRESERVATION CELL EA LINE		IP		88240	    	300	87	56.55	8.7	87	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	46.72	38.98	54.81	N/A	N/A	41.76	N/A	N/A	65.25	45.24	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1351	30088240	HC CRYOPRESERVATION CELL EA LINE		OP		88240	    	300	87	56.55	7.29	87	7.87	87	21.86	12.81	23.22	13.19	21.86	87	13.72	87	12.81	13.72	87	13.19	87	87	38.98	30.06	60.9	13.07	41.76	7.44	34.8	65.25	45.24	12.49	26.97	11.47	20.67	87	13.07
2/15/2024	CDM	1352	30088245	HC CHROMOSOME ANALYSIS BASELINE SCE 2025 CELLS		IP		88245	    	300	308	200.2	30.8	308	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	165.4	137.98	194.04	N/A	N/A	147.84	N/A	N/A	231	160.16	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1353	30088245	HC CHROMOSOME ANALYSIS BASELINE SCE 2025 CELLS		OP		88245	    	300	308	200.2	30.8	571.46	104.36	308	289.55	169.71	307.56	174.8	289.55	308	181.83	308	169.71	181.83	308	174.8	308	308	137.98	308	215.6	173.1	147.84	98.56	123.2	231	160.16	165.47	95.48	151.91	304.64	308	173.17
2/15/2024	CDM	1354	30088262	HC COUNT 1520 2 KARYO		IP		88262	    	311	269	174.85	26.9	269	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	144.45	120.51	169.47	N/A	N/A	129.12	N/A	N/A	201.75	139.88	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1355	30088262	HC COUNT 1520 2 KARYO		OP		88262	    	311	269	174.85	26.9	414.12	75.62	269	209.82	122.98	222.87	126.66	209.82	269	131.76	269	122.98	131.76	269	126.66	269	269	120.51	269	188.3	125.44	129.12	71.42	107.6	201.75	139.88	119.91	83.39	110.09	255.06	269	125.49
2/15/2024	CDM	1356	30088264	HC COUNT 2025 1 KARYO		IP		88264	    	300	346	224.9	34.6	346	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	185.8	155.01	217.98	N/A	N/A	166.08	N/A	N/A	259.5	179.92	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1357	30088264	HC COUNT 2025 1 KARYO		OP		88264	    	300	346	224.9	34.6	477.21	87.15	346	241.79	141.72	256.83	145.97	241.79	346	151.84	346	141.72	151.84	346	145.97	346	346	155.01	332.6	242.2	144.55	166.08	82.3	138.4	259.5	179.92	138.18	107.26	126.85	255.06	346	144.61
2/15/2024	CDM	1358	30088271	HC MOLEC DNA PROBE		IP		88271	    	311	101	65.65	10.1	101	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	54.24	45.25	63.63	N/A	N/A	48.48	N/A	N/A	75.75	52.52	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1359	30088271	HC MOLEC DNA PROBE		OP		88271	    	311	101	65.65	10.1	101	12.91	101	35.82	20.99	38.05	21.62	35.82	101	22.49	101	20.99	22.49	101	21.62	101	101	45.25	49.27	70.7	21.41	48.48	12.19	40.4	75.75	52.52	20.47	31.31	18.79	43.83	101	21.42
2/15/2024	CDM	1360	30088273	HC MOLEC IN SITU 1030		IP		88273	    	311	134	87.1	13.4	134	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	71.96	60.03	84.42	N/A	N/A	64.32	N/A	N/A	100.5	69.68	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1361	30088273	HC MOLEC IN SITU 1030		OP		88273	    	311	134	87.1	13.4	134	20.97	134	58.21	34.11	61.83	35.13	58.21	134	36.55	134	34.11	36.55	134	35.13	134	134	60.03	80.06	93.8	34.79	64.32	19.81	53.6	100.5	69.68	33.26	41.54	30.53	65.76	134	34.81
2/15/2024	CDM	1362	30088274	HC MOLEC IN SITU 2599		IP		88274	    	311	215	139.75	21.5	215	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	115.46	96.32	135.45	N/A	N/A	103.2	N/A	N/A	161.25	111.8	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1363	30088274	HC MOLEC IN SITU 2599		OP		88274	    	311	215	139.75	21.5	215	25.54	215	70.85	41.53	75.26	42.78	70.85	215	44.5	215	41.53	44.5	215	42.78	215	215	96.32	97.47	150.5	42.36	103.2	24.12	86	161.25	111.8	40.49	66.65	37.17	71.24	215	42.38
2/15/2024	CDM	1364	30088314	HC HISTOCHEMICAL STAINING		IP		88314	    	312	156	101.4	15.6	156	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	83.77	69.89	98.28	N/A	N/A	74.88	N/A	N/A	117	81.12	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1365	30088314	HC HISTOCHEMICAL STAINING		OP		88314	    	312	156	101.4	15.6	156	N/A	156	122.08	N/A	129.67	N/A	122.08	156	N/A	156	N/A	N/A	156	N/A	156	156	69.89	78	109.2	N/A	74.88	N/A	63.8	117	81.12	N/A	48.36	156	82.76	156	N/A
2/15/2024	CDM	1366	30088319	HC ENZYME HISTOCHEMISTRY		IP		88319	    	300	975	633.75	97.5	975	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	523.58	436.8	614.25	N/A	N/A	468	N/A	N/A	731.25	507	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1367	30088319	HC ENZYME HISTOCHEMISTRY		OP		88319	    	300	975	633.75	76.36	2797.02	493.73	975	157.34	733.77	167.12	755.69	157.34	975	2745.2	975	733.77	2745.2	975	755.69	975	796.12	436.8	487.5	682.5	748.45	468	466.3	2797.02	731.25	507	715.43	302.25	708.79	269.51	975	745.7
2/15/2024	CDM	1368	30088350	HC RL IMMUNOFLUORESCENCE ADDL		IP		88350	    	300	77	50.05	7.7	77	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	41.35	34.5	48.51	N/A	N/A	36.96	N/A	N/A	57.75	40.04	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1369	30088350	HC RL IMMUNOFLUORESCENCE ADDL		OP		88350	    	300	77	50.05	7.7	77	N/A	77	77	N/A	77	N/A	77	77	N/A	77	N/A	N/A	77	N/A	77	77	34.5	38.5	53.9	N/A	36.96	N/A	31.49	57.75	40.04	N/A	23.87	77	65.57	77	N/A
2/15/2024	CDM	1370	30088364	HC IN SITU HYBRID ADDITIONAL PROBES		IP		88364	    	300	580	377	58	580	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	311.46	259.84	365.4	N/A	N/A	278.4	N/A	N/A	435	301.6	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1371	30088364	HC IN SITU HYBRID ADDITIONAL PROBES		OP		88364	    	300	580	377	58	580	N/A	580	167.37	N/A	177.78	N/A	167.37	580	N/A	580	N/A	N/A	580	N/A	580	580	259.84	290	406	N/A	278.4	N/A	237.22	435	301.6	N/A	179.8	580	105.26	580	N/A
2/15/2024	CDM	1372	30088740	HC CARBOXYHEMOGLOBIN TRANSCUTANEOUS		IP		88740	    	300	98	63.7	9.8	98	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	52.63	43.9	61.74	N/A	N/A	47.04	N/A	N/A	73.5	50.96	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1373	30088740	HC CARBOXYHEMOGLOBIN TRANSCUTANEOUS		OP		88740	    	300	98	63.7	5.23	98	5.65	98	15.68	9.18	16.65	9.46	15.68	98	9.84	98	9.18	9.84	98	9.46	98	64.71	43.9	21.55	68.6	9.36	47.04	5.33	39.2	73.5	50.96	8.95	30.38	8.22	10.26	98	9.37
2/15/2024	CDM	1374	30089050	HC CELL COUNT SPINAL FLUID		IP		89050	    	300	36	23.4	3.6	36	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	19.33	16.13	22.68	N/A	N/A	17.28	N/A	N/A	27	18.72	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1375	30089050	HC CELL COUNT SPINAL FLUID		OP		89050	    	300	36	23.4	2.63	36	2.84	36	7.9	4.63	8.39	4.76	7.9	36	4.96	36	4.63	4.96	36	4.76	36	32.63	16.13	10.86	25.2	4.72	17.28	2.68	14.4	27	18.72	4.51	11.16	4.14	9.68	36	4.72
2/15/2024	CDM	1376	30089230	HC SWEAT COLLECTION		IP		89230	    	300	185	120.25	18.5	185	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	99.35	82.88	116.55	N/A	N/A	88.8	N/A	N/A	138.75	96.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1377	30089230	HC SWEAT COLLECTION		OP		89230	    	300	185	120.25	3.68	185	31.11	185	3.82	46.24	4.06	47.62	3.82	185	172.98	185	46.24	172.98	185	47.62	185	16.69	82.88	92.5	129.5	47.16	88.8	29.39	180.59	138.75	96.2	45.08	57.35	44.67	54.8	185	46.99
2/15/2024	CDM	1378	30089321	HC SPERM CTPOST VAS		IP		89321	    	300	87	56.55	8.7	87	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	46.72	38.98	54.81	N/A	N/A	41.76	N/A	N/A	65.25	45.24	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1379	30089321	HC SPERM CTPOST VAS		OP		89321	    	300	87	56.55	6.72	87	7.26	87	20.15	11.81	21.4	12.16	20.15	87	12.65	87	11.81	12.65	87	12.16	87	83.23	38.98	27.72	60.9	12.05	41.76	6.85	34.8	65.25	45.24	11.51	26.97	10.57	24.66	87	12.05
2/15/2024	CDM	1380	30100015	HC PSA TOTAL		IP		84153	    	301	260	169	26	260	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	139.62	116.48	163.8	N/A	N/A	124.8	N/A	N/A	195	135.2	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	1381	30100015	HC PSA TOTAL		OP		84153	    	301	260	169	10.26	260	11.08	260	30.74	18.02	32.66	18.56	30.74	260	19.31	260	18.02	19.31	260	18.56	260	127.01	116.48	42.3	182	18.38	124.8	10.47	104	195	135.2	17.57	80.6	16.13	37.64	260	18.39
2/15/2024	CDM	1382	30100017	HC GASTROCCULT NURSINGQW		IP		82271	    	301	65	42.25	6.5	65	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	0	N/A	N/A	N/A	34.91	29.12	40.95	N/A	N/A	31.2	N/A	N/A	48.75	33.8	N/A	N/A	N/A	N/A	N/A	N/A
