	hospital_name		version	hospital_location	hospital_address	license_number|[state]	"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated."																																									
2/15/2024	CDM	360	30002791	HC HEM VW DS VW FACTOR  COLLAGEN III BINDING		IP		0279U	    	300	765	497.25	76.5	765	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	533.21	445.23	N/A	512.55	527.85	N/A	N/A	N/A	N/A	N/A	688.5	N/A	N/A	328.95	328.95	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	361	30002791	HC HEM VW DS VW FACTOR  COLLAGEN III BINDING		OP		0279U	    	300	765	497.25	6.43	765	N/A	480.42	11.3	11.3	480.42	N/A	514.84	N/A	11.3	514.84	N/A	N/A	533.21	445.23	11.53	512.55	527.85	11.3	6.56	459	N/A	11.3	688.5	612	11.24	428.4	428.4	459	11.3	604.35	N/A	10.73	11.3	11.53
2/15/2024	CDM	362	30003611	HC NEUROFILAMENT LIGHT CHAIN DIGITAL IA PLASMA		IP		0361U	    	300	3259	2118.35	325.9	3259	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2271.52	1896.74	N/A	2183.53	2248.71	N/A	N/A	N/A	N/A	N/A	2933.1	N/A	N/A	1401.37	1401.37	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	363	30003611	HC NEUROFILAMENT LIGHT CHAIN DIGITAL IA PLASMA		OP		0361U	    	300	3259	2118.35	325.9	3259	N/A	2046.65	928.81	N/A	2046.65	N/A	2193.31	N/A	N/A	2193.31	N/A	N/A	2271.52	1896.74	N/A	2183.53	2248.71	N/A	N/A	1955.4	N/A	N/A	2933.1	2607.2	N/A	1825.04	1825.04	1955.4	N/A	2574.61	N/A	N/A	N/A	N/A
2/15/2024	CDM	364	30009100	HC PATHOGEN TEST FOR PLATELETS		IP		P9100	    	300	144	93.6	14.4	144	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	100.37	83.81	N/A	96.48	99.36	N/A	N/A	N/A	N/A	N/A	129.6	N/A	N/A	61.92	61.92	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	365	30009100	HC PATHOGEN TEST FOR PLATELETS		OP		P9100	    	300	144	93.6	14.4	175.06	34.79	90.43	52.2	52.2	90.43	38.27	96.91	35.83	52.2	96.91	34.79	34.79	100.37	83.81	53.24	96.48	99.36	52.2	N/A	86.4	34.79	52.2	129.6	115.2	51.72	80.64	80.64	86.4	52.2	113.76	34.79	49.59	52.2	53.05
2/15/2024	CDM	366	30010002	HC COVID19 ANY TECHNIQUE INHOUSE		IP		U0002	    	300	228	148.2	22.8	228	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	158.92	132.7	N/A	152.76	157.32	N/A	N/A	N/A	N/A	N/A	205.2	N/A	N/A	98.04	98.04	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	367	30010002	HC COVID19 ANY TECHNIQUE INHOUSE		OP		U0002	    	300	228	148.2	12.73	228	12.73	143.18	50.28	50.28	143.18	14	153.44	13.11	50.28	153.44	12.73	12.73	158.92	132.7	51.29	152.76	157.32	50.28	29.2	136.8	12.73	50.28	205.2	182.4	50.03	127.68	127.68	136.8	50.28	180.12	12.73	47.77	50.28	51.31
2/15/2024	CDM	368	30036415	HC VENIPUNCTURE		IP		36415	    	300	21	13.65	2.1	21	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	14.64	12.22	N/A	14.07	14.49	N/A	N/A	N/A	N/A	N/A	18.9	N/A	N/A	9.03	9.03	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	369	30036415	HC VENIPUNCTURE		OP		36415	    	300	21	13.65	2.02	29.14	2.02	0	8.65	8.65	13.19	2.22	14.13	2.08	8.65	14.13	2.02	2.02	14.64	12.22	8.82	14.07	14.49	8.65	5.03	12.6	2.02	8.65	18.9	16.8	8.61	11.76	11.76	12.6	8.65	16.59	2.02	8.22	8.65	8.83
2/15/2024	CDM	370	30036416	HC COLLECTION OF CAPILLARY BLD SPEC		IP		36416	    	300	22	14.3	2.2	22	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	15.33	12.8	N/A	14.74	15.18	N/A	N/A	N/A	N/A	N/A	19.8	N/A	N/A	9.46	9.46	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	371	30036416	HC COLLECTION OF CAPILLARY BLD SPEC		OP		36416	    	300	22	14.3	2.02	22	2.02	13.82	6.27	N/A	13.82	2.22	14.81	2.08	N/A	14.81	2.02	2.02	15.33	12.8	N/A	14.74	15.18	N/A	N/A	13.2	2.02	N/A	19.8	17.6	N/A	12.32	12.32	13.2	N/A	17.38	2.02	N/A	N/A	N/A
2/15/2024	CDM	372	30080047	HC BMP WITH IONIZED CA		IP		80047	    	300	216	140.4	21.6	216	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	150.55	125.71	N/A	144.72	149.04	N/A	N/A	N/A	N/A	N/A	194.4	N/A	N/A	92.88	92.88	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	373	30080047	HC BMP WITH IONIZED CA		OP		80047	    	300	216	140.4	7.66	216	15.05	135.65	13.46	13.46	135.65	16.56	145.37	15.5	13.46	145.37	15.05	15.05	150.55	125.71	13.73	144.72	149.04	13.46	7.81	129.6	15.05	13.46	194.4	172.8	13.39	120.96	120.96	129.6	13.46	170.64	15.05	12.79	13.46	13.73
2/15/2024	CDM	374	30080048	HC BASIC METABOLIC PANEL		IP		80048	    	300	216	140.4	21.6	216	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	150.55	125.71	N/A	144.72	149.04	N/A	N/A	N/A	N/A	N/A	194.4	N/A	N/A	92.88	92.88	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	375	30080048	HC BASIC METABOLIC PANEL		OP		80048	    	300	216	140.4	4.72	216	15.05	135.65	8.29	8.29	135.65	16.56	145.37	15.5	8.29	145.37	15.05	15.05	150.55	125.71	8.46	144.72	149.04	8.29	4.81	129.6	15.05	8.29	194.4	172.8	8.25	120.96	120.96	129.6	8.29	170.64	15.05	7.88	8.29	8.46
2/15/2024	CDM	376	30080053	HC COMP METABOLIC PANEL		IP		80053	    	300	312	202.8	31.2	312	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	217.46	181.58	N/A	209.04	215.28	N/A	N/A	N/A	N/A	N/A	280.8	N/A	N/A	134.16	134.16	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	377	30080053	HC COMP METABOLIC PANEL		OP		80053	    	300	312	202.8	5.89	312	15.05	195.94	10.35	10.35	195.94	16.56	209.98	15.5	10.35	209.98	15.05	15.05	217.46	181.58	10.56	209.04	215.28	10.35	6.01	187.2	15.05	10.35	280.8	249.6	10.3	174.72	174.72	187.2	10.35	246.48	15.05	9.83	10.35	10.56
2/15/2024	CDM	378	30080076	HC HEPATIC FUNC PANEL		IP		80076	    	300	160	104	16	160	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	111.52	93.12	N/A	107.2	110.4	N/A	N/A	N/A	N/A	N/A	144	N/A	N/A	68.8	68.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	379	30080076	HC HEPATIC FUNC PANEL		OP		80076	    	300	160	104	4.56	160	15.05	100.48	8.01	8.01	100.48	16.56	107.68	15.5	8.01	107.68	15.05	15.05	111.52	93.12	8.17	107.2	110.4	8.01	4.65	96	15.05	8.01	144	128	7.97	89.6	89.6	96	8.01	126.4	15.05	7.61	8.01	8.17
2/15/2024	CDM	380	30080145	HC DRUG ASSAY ADALIMUMAB		IP		80145	    	300	166	107.9	16.6	166	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	115.7	96.61	N/A	111.22	114.54	N/A	N/A	N/A	N/A	N/A	149.4	N/A	N/A	71.38	71.38	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	381	30080145	HC DRUG ASSAY ADALIMUMAB		OP		80145	    	300	166	107.9	14.01	166	14.01	104.25	37.8	37.8	104.25	15.41	111.72	14.43	37.8	111.72	14.01	14.01	115.7	96.61	38.56	111.22	114.54	37.8	21.95	99.6	14.01	37.8	149.4	132.8	37.61	92.96	92.96	99.6	37.8	131.14	14.01	35.91	37.8	38.57
2/15/2024	CDM	382	30080157	HC CARBAMAZEPINE FREE		IP		80157	    	300	95	61.75	9.5	95	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	66.22	55.29	N/A	63.65	65.55	N/A	N/A	N/A	N/A	N/A	85.5	N/A	N/A	40.85	40.85	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	383	30080157	HC CARBAMAZEPINE FREE		OP		80157	    	300	95	61.75	7.39	95	14.01	59.66	12.98	12.98	59.66	15.41	63.93	14.43	12.98	63.93	14.01	14.01	66.22	55.29	13.24	63.65	65.55	12.98	7.54	57	14.01	12.98	85.5	76	12.92	53.2	53.2	57	12.98	75.05	14.01	12.33	12.98	13.25
2/15/2024	CDM	384	30080169	HC EVEROLIMUS		IP		80169	    	300	83	53.95	8.3	83	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	57.85	48.31	N/A	55.61	57.27	N/A	N/A	N/A	N/A	N/A	74.7	N/A	N/A	35.69	35.69	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	385	30080169	HC EVEROLIMUS		OP		80169	    	300	83	53.95	7.66	83	14.01	52.12	13.46	13.46	52.12	15.41	55.86	14.43	13.46	55.86	14.01	14.01	57.85	48.31	13.73	55.61	57.27	13.46	7.81	49.8	14.01	13.46	74.7	66.4	13.39	46.48	46.48	49.8	13.46	65.57	14.01	12.79	13.46	13.73
2/15/2024	CDM	386	30080187	HC DRUG ASSAY POSACONAZOLE		IP		80187	    	300	110	71.5	11	110	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	76.67	64.02	N/A	73.7	75.9	N/A	N/A	N/A	N/A	N/A	99	N/A	N/A	47.3	47.3	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	387	30080187	HC DRUG ASSAY POSACONAZOLE		OP		80187	    	300	110	71.5	11	110	14.01	69.08	26.57	26.57	69.08	15.41	74.03	14.43	26.57	74.03	14.01	14.01	76.67	64.02	27.1	73.7	75.9	26.57	15.43	66	14.01	26.57	99	88	26.43	61.6	61.6	66	26.57	86.9	14.01	25.24	26.57	27.11
2/15/2024	CDM	388	30080194	HC QUINIDINE		IP		80194	    	300	122	79.3	12.2	122	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	85.03	71	N/A	81.74	84.18	N/A	N/A	N/A	N/A	N/A	109.8	N/A	N/A	52.46	52.46	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	389	30080194	HC QUINIDINE		OP		80194	    	300	122	79.3	8.15	122	14.01	76.62	14.31	14.31	76.62	15.41	82.11	14.43	14.31	82.11	14.01	14.01	85.03	71	14.6	81.74	84.18	14.31	8.31	73.2	14.01	14.31	109.8	97.6	14.23	68.32	68.32	73.2	14.31	96.38	14.01	13.59	14.31	14.6
2/15/2024	CDM	390	30080197	HC TACROLIMUS		IP		80197	    	300	148	96.2	14.8	148	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	103.16	86.14	N/A	99.16	102.12	N/A	N/A	N/A	N/A	N/A	133.2	N/A	N/A	63.64	63.64	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	391	30080197	HC TACROLIMUS		OP		80197	    	300	148	96.2	7.66	148	14.01	92.94	13.46	13.46	92.94	15.41	99.6	14.43	13.46	99.6	14.01	14.01	103.16	86.14	13.73	99.16	102.12	13.46	7.81	88.8	14.01	13.46	133.2	118.4	13.39	82.88	82.88	88.8	13.46	116.92	14.01	12.79	13.46	13.73
2/15/2024	CDM	392	30080230	HC DRUG ASSAY INFLIXIMAB		IP		80230	    	300	166	107.9	16.6	166	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	115.7	96.61	N/A	111.22	114.54	N/A	N/A	N/A	N/A	N/A	149.4	N/A	N/A	71.38	71.38	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	393	30080230	HC DRUG ASSAY INFLIXIMAB		OP		80230	    	300	166	107.9	14.01	166	14.01	104.25	37.8	37.8	104.25	15.41	111.72	14.43	37.8	111.72	14.01	14.01	115.7	96.61	38.56	111.22	114.54	37.8	21.95	99.6	14.01	37.8	149.4	132.8	37.61	92.96	92.96	99.6	37.8	131.14	14.01	35.91	37.8	38.57
2/15/2024	CDM	394	30080235	HC DRUG ASSAY LACOSAMIDE		IP		80235	    	300	116	75.4	11.6	116	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	80.85	67.51	N/A	77.72	80.04	N/A	N/A	N/A	N/A	N/A	104.4	N/A	N/A	49.88	49.88	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	395	30080235	HC DRUG ASSAY LACOSAMIDE		OP		80235	    	300	116	75.4	11.6	116	14.01	72.85	26.57	26.57	72.85	15.41	78.07	14.43	26.57	78.07	14.01	14.01	80.85	67.51	27.1	77.72	80.04	26.57	15.43	69.6	14.01	26.57	104.4	92.8	26.43	64.96	64.96	69.6	26.57	91.64	14.01	25.24	26.57	27.11
2/15/2024	CDM	396	30080280	HC DRUG ASSAY VEDOLIZUMAB		IP		80280	    	300	160	104	16	160	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	111.52	93.12	N/A	107.2	110.4	N/A	N/A	N/A	N/A	N/A	144	N/A	N/A	68.8	68.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	397	30080280	HC DRUG ASSAY VEDOLIZUMAB		OP		80280	    	300	160	104	14.01	160	14.01	100.48	37.8	37.8	100.48	15.41	107.68	14.43	37.8	107.68	14.01	14.01	111.52	93.12	38.56	107.2	110.4	37.8	21.95	96	14.01	37.8	144	128	37.61	89.6	89.6	96	37.8	126.4	14.01	35.91	37.8	38.57
2/15/2024	CDM	398	30080285	HC DRUG ASSAY VORICONAZOLE		IP		80285	    	300	116	75.4	11.6	116	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	80.85	67.51	N/A	77.72	80.04	N/A	N/A	N/A	N/A	N/A	104.4	N/A	N/A	49.88	49.88	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	399	30080285	HC DRUG ASSAY VORICONAZOLE		OP		80285	    	300	116	75.4	11.6	116	14.01	72.85	26.57	26.57	72.85	15.41	78.07	14.43	26.57	78.07	14.01	14.01	80.85	67.51	27.1	77.72	80.04	26.57	15.43	69.6	14.01	26.57	104.4	92.8	26.43	64.96	64.96	69.6	26.57	91.64	14.01	25.24	26.57	27.11
2/15/2024	CDM	400	30080307	HC DRUG SCREEN INSTRUMENTED		IP		80307	    	300	204	132.6	20.4	204	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	142.19	118.73	N/A	136.68	140.76	N/A	N/A	N/A	N/A	N/A	183.6	N/A	N/A	87.72	87.72	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	401	30080307	HC DRUG SCREEN INSTRUMENTED		OP		80307	    	300	204	132.6	20.4	205.06	26.64	128.11	60.9	60.9	128.11	29.3	137.29	27.44	60.9	137.29	26.64	26.64	142.19	118.73	62.12	136.68	140.76	60.9	35.36	122.4	26.64	60.9	183.6	163.2	60.59	114.24	114.24	122.4	60.9	161.16	26.64	57.85	60.9	62.14
2/15/2024	CDM	402	30080326	HC AMPHETAMINE QUANT 5 OR MORE		IP		80326	    	300	90	58.5	9	90	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	62.73	52.38	N/A	60.3	62.1	N/A	N/A	N/A	N/A	N/A	81	N/A	N/A	38.7	38.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	403	30080326	HC AMPHETAMINE QUANT 5 OR MORE		OP		80326	    	300	90	58.5	9	90	23.05	56.52	25.65	N/A	56.52	25.36	60.57	23.74	N/A	60.57	23.05	23.05	62.73	52.38	N/A	60.3	62.1	N/A	N/A	54	23.05	N/A	81	72	N/A	50.4	50.4	54	N/A	71.1	23.05	N/A	N/A	N/A
2/15/2024	CDM	404	30080337	HC ANTIDEPRESSANTS TRICYCLIC AND OTHER CYCLICALS		IP		80337	    	300	496	322.4	49.6	496	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	345.71	288.67	N/A	332.32	342.24	N/A	N/A	N/A	N/A	N/A	446.4	N/A	N/A	213.28	213.28	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	405	30080337	HC ANTIDEPRESSANTS TRICYCLIC AND OTHER CYCLICALS		OP		80337	    	300	496	322.4	23.05	496	23.05	311.49	141.36	N/A	311.49	25.36	333.81	23.74	N/A	333.81	23.05	23.05	345.71	288.67	N/A	332.32	342.24	N/A	N/A	297.6	23.05	N/A	446.4	396.8	N/A	277.76	277.76	297.6	N/A	391.84	23.05	N/A	N/A	N/A
2/15/2024	CDM	406	30080338	HC ANTIDEPRESSANTS NOS		IP		80338	    	300	496	322.4	49.6	496	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	345.71	288.67	N/A	332.32	342.24	N/A	N/A	N/A	N/A	N/A	446.4	N/A	N/A	213.28	213.28	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	407	30080338	HC ANTIDEPRESSANTS NOS		OP		80338	    	300	496	322.4	23.05	496	23.05	311.49	141.36	N/A	311.49	25.36	333.81	23.74	N/A	333.81	23.05	23.05	345.71	288.67	N/A	332.32	342.24	N/A	N/A	297.6	23.05	N/A	446.4	396.8	N/A	277.76	277.76	297.6	N/A	391.84	23.05	N/A	N/A	N/A
2/15/2024	CDM	408	30080344	HC ANTIPSYCHOTICS NOT OTHERWISE SPECIFIED 7 MORE		IP		80344	    	300	217	141.05	21.7	217	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	151.25	126.29	N/A	145.39	149.73	N/A	N/A	N/A	N/A	N/A	195.3	N/A	N/A	93.31	93.31	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	409	30080344	HC ANTIPSYCHOTICS NOT OTHERWISE SPECIFIED 7 MORE		OP		80344	    	300	217	141.05	21.7	217	23.05	136.28	61.84	N/A	136.28	25.36	146.04	23.74	N/A	146.04	23.05	23.05	151.25	126.29	N/A	145.39	149.73	N/A	N/A	130.2	23.05	N/A	195.3	173.6	N/A	121.52	121.52	130.2	N/A	171.43	23.05	N/A	N/A	N/A
2/15/2024	CDM	410	30080346	HC BENZODIAZEPINES QUANT		IP		80346	    	300	52	33.8	5.2	52	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	36.24	30.26	N/A	34.84	35.88	N/A	N/A	N/A	N/A	N/A	46.8	N/A	N/A	22.36	22.36	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	411	30080346	HC BENZODIAZEPINES QUANT		OP		80346	    	300	52	33.8	5.2	52	23.05	32.66	14.82	N/A	32.66	25.36	35	23.74	N/A	35	23.05	23.05	36.24	30.26	N/A	34.84	35.88	N/A	N/A	31.2	23.05	N/A	46.8	41.6	N/A	29.12	29.12	31.2	N/A	41.08	23.05	N/A	N/A	N/A
2/15/2024	CDM	412	30080347	HC DRUG SCREENING BENZODIAZEPINES 13 OR MORE		IP		80347	    	300	160	104	16	160	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	111.52	93.12	N/A	107.2	110.4	N/A	N/A	N/A	N/A	N/A	144	N/A	N/A	68.8	68.8	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	413	30080347	HC DRUG SCREENING BENZODIAZEPINES 13 OR MORE		OP		80347	    	300	160	104	16	160	23.05	100.48	45.6	N/A	100.48	25.36	107.68	23.74	N/A	107.68	23.05	23.05	111.52	93.12	N/A	107.2	110.4	N/A	N/A	96	23.05	N/A	144	128	N/A	89.6	89.6	96	N/A	126.4	23.05	N/A	N/A	N/A
2/15/2024	CDM	414	30080363	HC PAIN PANEL OPIOIDS		IP		80363	    	300	9	5.85	0.9	9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6.27	5.24	N/A	6.03	6.21	N/A	N/A	N/A	N/A	N/A	8.1	N/A	N/A	3.87	3.87	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	415	30080363	HC PAIN PANEL OPIOIDS		OP		80363	    	300	9	5.85	0.9	9.9	9	5.65	2.56	N/A	5.65	9.9	6.06	9.27	N/A	6.06	9	9	6.27	5.24	N/A	6.03	6.21	N/A	N/A	5.4	9	N/A	8.1	7.2	N/A	5.04	5.04	5.4	N/A	7.11	9	N/A	N/A	N/A
2/15/2024	CDM	416	30080364	HC OPIATES QUANT 5 OR MORE		IP		80364	    	300	90	58.5	9	90	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	62.73	52.38	N/A	60.3	62.1	N/A	N/A	N/A	N/A	N/A	81	N/A	N/A	38.7	38.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	417	30080364	HC OPIATES QUANT 5 OR MORE		OP		80364	    	300	90	58.5	9	90	23.05	56.52	25.65	N/A	56.52	25.36	60.57	23.74	N/A	60.57	23.05	23.05	62.73	52.38	N/A	60.3	62.1	N/A	N/A	54	23.05	N/A	81	72	N/A	50.4	50.4	54	N/A	71.1	23.05	N/A	N/A	N/A
2/15/2024	CDM	418	30080366	HC RL PREGABALIN		IP		80366	    	300	138	89.7	13.8	138	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	96.19	80.32	N/A	92.46	95.22	N/A	N/A	N/A	N/A	N/A	124.2	N/A	N/A	59.34	59.34	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	419	30080366	HC RL PREGABALIN		OP		80366	    	300	138	89.7	13.8	138	23.05	86.66	39.33	N/A	86.66	25.36	92.87	23.74	N/A	92.87	23.05	23.05	96.19	80.32	N/A	92.46	95.22	N/A	N/A	82.8	23.05	N/A	124.2	110.4	N/A	77.28	77.28	82.8	N/A	109.02	23.05	N/A	N/A	N/A
2/15/2024	CDM	420	30080368	HC SEDATIVE HYPNOTICS		IP		80368	    	300	496	322.4	49.6	496	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	345.71	288.67	N/A	332.32	342.24	N/A	N/A	N/A	N/A	N/A	446.4	N/A	N/A	213.28	213.28	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	421	30080368	HC SEDATIVE HYPNOTICS		OP		80368	    	300	496	322.4	23.05	496	23.05	311.49	141.36	N/A	311.49	25.36	333.81	23.74	N/A	333.81	23.05	23.05	345.71	288.67	N/A	332.32	342.24	N/A	N/A	297.6	23.05	N/A	446.4	396.8	N/A	277.76	277.76	297.6	N/A	391.84	23.05	N/A	N/A	N/A
2/15/2024	CDM	422	30080369	HC SKELETAL MUSCLE RELAXANTS 1 OR 2		IP		80369	    	300	496	322.4	49.6	496	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	345.71	288.67	N/A	332.32	342.24	N/A	N/A	N/A	N/A	N/A	446.4	N/A	N/A	213.28	213.28	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	423	30080369	HC SKELETAL MUSCLE RELAXANTS 1 OR 2		OP		80369	    	300	496	322.4	23.05	496	23.05	311.49	141.36	N/A	311.49	25.36	333.81	23.74	N/A	333.81	23.05	23.05	345.71	288.67	N/A	332.32	342.24	N/A	N/A	297.6	23.05	N/A	446.4	396.8	N/A	277.76	277.76	297.6	N/A	391.84	23.05	N/A	N/A	N/A
2/15/2024	CDM	424	30080375	HC RL DRUG DEFINITIVE NOS 13		IP		80375	    	300	209	135.85	20.9	209	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	145.67	121.64	N/A	140.03	144.21	N/A	N/A	N/A	N/A	N/A	188.1	N/A	N/A	89.87	89.87	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	425	30080375	HC RL DRUG DEFINITIVE NOS 13		OP		80375	    	300	209	135.85	20.9	209	26.64	131.25	59.56	N/A	131.25	29.3	140.66	27.44	N/A	140.66	26.64	26.64	145.67	121.64	N/A	140.03	144.21	N/A	N/A	125.4	26.64	N/A	188.1	167.2	N/A	117.04	117.04	125.4	N/A	165.11	26.64	N/A	N/A	N/A
2/15/2024	CDM	426	30081105	HC HUMAN PLATELET AG 1 ITGB3 AG CD61 ANLYS		IP		81105	    	300	588	382.2	58.8	588	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	409.84	342.22	N/A	393.96	405.72	N/A	N/A	N/A	N/A	N/A	529.2	N/A	N/A	252.84	252.84	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	427	30081105	HC HUMAN PLATELET AG 1 ITGB3 AG CD61 ANLYS		OP		81105	    	300	588	382.2	58.8	588	64.22	369.26	119.78	119.78	369.26	70.64	395.72	66.15	119.78	395.72	64.22	64.22	409.84	342.22	122.18	393.96	405.72	119.78	69.56	352.8	64.22	119.78	529.2	470.4	119.16	329.28	329.28	352.8	119.78	464.52	64.22	113.79	119.78	122.22
2/15/2024	CDM	428	30081162	HC BRCA MUTATION PANEL		IP		81162	    	300	7316	4755.4	731.6	7316	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5099.25	4257.91	N/A	4901.72	5048.04	N/A	N/A	N/A	N/A	N/A	6584.4	N/A	N/A	3145.88	3145.88	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2/15/2024	CDM	429	30081162	HC BRCA MUTATION PANEL		OP		81162	    	300	7316	4755.4	514.16	7316	514.16	4594.45	1788.38	1788.38	4594.45	565.58	4923.67	529.58	1788.38	4923.67	514.16	514.16	5099.25	4257.91	1824.15	4901.72	5048.04	1788.38	1038.65	4389.6	514.16	1788.38	6584.4	5852.8	1779.26	4096.96	4096.96	4389.6	1788.38	5779.64	514.16	1698.96	1788.38	1824.88
